==3853== NVPROF is profiling process 3853, command: ./maud_stream.exe -B 512 -N 100000
 STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 512 threads per block, 196 blocks
Function      Rate (MB/s)   Avg time
Copy:      56338.55622447   0.00001420
Scale:     54985.61023572   0.00001455
Add:       82039.70753643   0.00001463
Triad:     79488.61191349   0.00001510
==3853== Profiling application: ./maud_stream.exe -B 512 -N 100000
==3853== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
498.212701,2.176000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",265
498.227869,2.208000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",272
498.243005,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",279
498.258044,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",287
498.273084,2.176000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",293
498.288028,2.208000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",300
498.302780,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",307
498.317980,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",315
498.333084,2.144000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",321
498.359995,2.208000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",328
498.374395,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",335
498.388923,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",343
498.403355,2.176000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",349
498.418299,2.176000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",356
498.432667,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",363
498.447579,2.240000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",371
498.461691,2.144000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",377
498.476282,2.208000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",384
498.491450,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",391
498.506106,2.240000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",399
498.520474,2.144000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",405
498.534874,2.240000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",412
498.549914,2.304000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",419
498.565018,2.272000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",427
498.579417,2.176000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",433
498.594009,2.208000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",440
498.608697,2.240000,196,1,1,512,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",447
