==3714== NVPROF is profiling process 3714, command: ./maud_stream.exe -B 128 -N 100000
==3714== Profiling application: ./maud_stream.exe -B 128 -N 100000
 STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 128 threads per block, 782 blocks
Function      Rate (MB/s)   Avg time
Copy:      52478.04741687   0.00001524
Scale:     52127.13831991   0.00001535
Add:       77561.10994015   0.00001547
Triad:     74498.56481709   0.00001611
==3714== Profiling result:
"Start","Duration","Grid X","Grid Y","Grid Z","Block X","Block Y","Block Z","Registers Per Thread","Static SMem","Dynamic SMem","Device","Context","Stream","System","Name","Correlation_ID"
ms,us,,,,,,,,B,B,,,,,,
125.057220,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
125.111619,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
125.531433,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"24772/250000","[Power/Limit (mW)]",
180.165023,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
183.158206,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25008/250000","[Power/Limit (mW)]",
249.134726,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
249.168677,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
252.230901,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25064/250000","[Power/Limit (mW)]",
286.039648,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
289.007166,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25064/250000","[Power/Limit (mW)]",
345.644352,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"405/715","[SM/Memory Clock (MHz)]",
345.748035,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
348.728615,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25064/250000","[Power/Limit (mW)]",
373.939459,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
377.703820,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"25064/250000","[Power/Limit (mW)]",
428.433895,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"1189/715","[SM/Memory Clock (MHz)]",
428.463195,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"23","[Temperature (C)]",
431.315295,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"30378/250000","[Power/Limit (mW)]",
481.969138,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"24","[Temperature (C)]",
484.994055,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"37481/250000","[Power/Limit (mW)]",
535.641063,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"1189/715","[SM/Memory Clock (MHz)]",
535.667865,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"24","[Temperature (C)]",
538.464253,,,,,,,,,,,"Tesla P100-PCIE-16GB (0)",,,"38024/250000","[Power/Limit (mW)]",
578.987230,3.808000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",110
578.999742,2.656000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",115
579.009086,2.656000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"set_array(float*, float, int)",120
579.023870,3.616000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",125
579.051742,3.584000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Scale(float*, float*, float, int)",132
579.071582,3.872000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Add(float*, float*, float*, int)",139
579.091453,3.744000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Triad(float*, float*, float*, float, int)",147
579.107869,2.880000,782,1,1,128,1,1,8,0,0,"Tesla P100-PCIE-16GB (0)","1","7",,"STREAM_Copy(float*, float*, int)",153
