==3727== NVPROF is profiling process 3727, command: ./maud_stream.exe -B 128 -N 100000
==3727==  STREAM Benchmark implementation in CUDA
 Array size (single precision)=100000
 using 128 threads per block, 782 blocks
Function      Rate (MB/s)   Avg time
Copy:      146.29471874   0.00546841
Scale:     146.20440519   0.00547179
Add:       218.92782839   0.00548126
Triad:     218.78511888   0.00548483
Profiling application: ./maud_stream.exe -B 128 -N 100000
==3727== Profiling result:
==3727== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-PCIE-16GB (0)","set_array(float*, float, int)",3,"l2_write_throughput","L2 Throughput (Writes)",71.058777GB/s,95.521634GB/s,85.479017GB/s
"Tesla P100-PCIE-16GB (0)","STREAM_Triad(float*, float*, float*, float, int)",1000,"l2_write_throughput","L2 Throughput (Writes)",82.649925GB/s,89.643380GB/s,88.081229GB/s
"Tesla P100-PCIE-16GB (0)","STREAM_Scale(float*, float*, float, int)",1000,"l2_write_throughput","L2 Throughput (Writes)",83.839132GB/s,90.338290GB/s,89.049169GB/s
"Tesla P100-PCIE-16GB (0)","STREAM_Copy(float*, float*, int)",1000,"l2_write_throughput","L2 Throughput (Writes)",33.106930GB/s,90.338290GB/s,88.960013GB/s
"Tesla P100-PCIE-16GB (0)","STREAM_Add(float*, float*, float*, int)",1000,"l2_write_throughput","L2 Throughput (Writes)",31.159464GB/s,89.643380GB/s,87.881317GB/s
