Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
54    54    1527261073796926530    3.565911    3.501130    3.498773    1.000000    1.000000    1.000000    3.657990    3.716201    6.851659
55    55    1527261074082243100    3.564803    3.501152    3.504879    1.000000    1.000000    1.000000    3.654202    3.658200    3.449418
56    56    1527261074367809336    3.563678    3.501295    3.501815    1.000000    1.000000    1.000000    3.650639    3.663376    3.454638
57    57    1527261074653537071    3.562558    3.501212    3.499835    1.000000    1.000000    1.000000    3.646890    3.667284    3.437034
58    58    1527261074939632806    3.561397    3.500991    3.495333    1.000000    1.000000    1.000000    3.643474    3.670716    3.449104
59    59    1527261075224917792    3.560447    3.501036    3.505267    1.000000    1.000000    1.000000    3.640095    3.673892    3.443858
60    60    1527261075510227362    3.559523    3.501197    3.504965    1.000000    1.000000    1.000000    3.637037    3.677360    3.456435
61    61    1527261075795833306    3.558569    3.501206    3.501328    1.000000    1.000000    1.000000    3.634241    3.680305    3.466433
62    62    1527261076081059793    3.557722    3.501232    3.505986    1.000000    1.000000    1.000000    3.631551    3.683379    3.467241
63    63    1527261076367393235    3.556683    3.501073    3.492432    1.000000    1.000000    1.000000    3.628663    3.685836    3.450048
64    64    1527261076652425431    3.555930    3.501223    3.508376    1.000000    1.000000    1.000000    3.626143    3.688837    3.467057
65    65    1527261076937609876    3.555170    3.501459    3.506503    1.000000    1.000000    1.000000    3.623701    3.691519    3.467209
66    66    1527261077223134779    3.554370    3.501506    3.502321    1.000000    1.000000    1.000000    3.673674    3.763223    6.922881
67    67    1527261077508930681    3.553543    3.501465    3.499000    1.000000    1.000000    1.000000    3.670343    3.697641    3.450637
68    68    1527261077794683958    3.552748    3.501642    3.499522    1.000000    1.000000    1.000000    3.667077    3.699403    3.448366
69    69    1527261078080204902    3.552018    3.501770    3.502370    1.000000    1.000000    1.000000    3.664052    3.701025    3.458244
70    70    1527261078365513805    3.551347    3.501899    3.504973    1.000000    1.000000    1.000000    3.661158    3.702753    3.461315
71    71    1527261078650889792    3.550683    3.501804    3.504149    1.000000    1.000000    1.000000    3.658086    3.703921    3.442854
72    72    1527261078936891693    3.549929    3.501636    3.496480    1.000000    1.000000    1.000000    3.655159    3.705140    3.447613
73    73    1527261079222640179    3.549239    3.501569    3.499581    1.000000    1.000000    1.000000    3.652322    3.706452    3.448151
74    74    1527261079508120915    3.548612    3.501588    3.502863    1.000000    1.000000    1.000000    3.649730    3.707519    3.460447
75    75    1527261079793560526    3.548009    3.501458    3.503368    1.000000    1.000000    1.000000    3.647193    3.708658    3.459352
76    76    1527261080078909096    3.547437    3.501492    3.504486    1.000000    1.000000    1.000000    3.644527    3.709662    3.444366
77    77    1527261080365025788    3.546756    3.501365    3.495077    1.000000    1.000000    1.000000    3.641831    3.710356    3.437297
78    78    1527261080650216275    3.546240    3.501607    3.506428    1.000000    1.000000    1.000000    3.684192    3.781475    6.950772
79    79    1527261080935580387    3.545709    3.501502    3.504295    1.000000    1.000000    1.000000    3.681157    3.713421    3.444252
80    80    1527261081220634207    3.545240    3.501569    3.508109    1.000000    1.000000    1.000000    3.678421    3.714105    3.461887
81    81    1527261081506008319    3.544734    3.501525    3.504172    1.000000    1.000000    1.000000    3.675771    3.714945    3.463590
82    82    1527261081791345305    3.544245    3.501544    3.504628    1.000000    1.000000    1.000000    3.672886    3.715730    3.439007
83    83    1527261082077015666    3.543718    3.501435    3.500538    1.000000    1.000000    1.000000    3.670247    3.716384    3.453879
84    84    1527261082362358360    3.543252    3.501283    3.504558    1.000000    1.000000    1.000000    3.667678    3.717109    3.454299
85    85    1527261082647772472    3.542787    3.501414    3.503681    1.000000    1.000000    1.000000    3.665226    3.717937    3.459125
86    86    1527261082933608999    3.542272    3.501368    3.498503    1.000000    1.000000    1.000000    3.662787    3.718833    3.455629
87    87    1527261083218955402    3.541838    3.501689    3.504512    1.000000    1.000000    1.000000    3.660499    3.719921    3.463622
88    88    1527261083504320763    3.541412    3.502057    3.504280    1.000000    1.000000    1.000000    3.658409    3.721255    3.476368
89    89    1527261083789998082    3.540951    3.502177    3.500453    1.000000    1.000000    1.000000    3.656070    3.721993    3.450361
90    90    1527261084075598276    3.540512    3.502241    3.501398    1.000000    1.000000    1.000000    3.653986    3.723234    3.468461
91    91    1527261084360966762    3.540113    3.502201    3.504241    1.000000    1.000000    1.000000    3.690285    3.725656    6.959686
92    92    1527261084646059750    3.539761    3.502277    3.507627    1.000000    1.000000    1.000000    3.687995    3.726404    3.479286
93    93    1527261084931601485    3.539356    3.502310    3.502115    1.000000    1.000000    1.000000    3.685670    3.727045    3.471741
94    94    1527261085217729762    3.538883    3.502227    3.494936    1.000000    1.000000    1.000000    3.683174    3.727379    3.451455
95    95    1527261085503655455    3.538446    3.502131    3.497412    1.000000    1.000000    1.000000    3.680608    3.727892    3.439719
96    96    1527261085789364315    3.538046    3.502089    3.500066    1.000000    1.000000    1.000000    3.678359    3.728638    3.464824
97    97    1527261086074832718    3.537685    3.502162    3.503015    1.000000    1.000000    1.000000    3.676085    3.729438    3.457679
98    98    1527261086359055999    3.537488    3.502558    3.518361    1.000000    1.000000    1.000000    3.674118    3.730631    3.482361
99    99    1527261086644371861    3.537159    3.502691    3.504888    1.000000    1.000000    1.000000    3.671893    3.731456    3.453646
100    100    1527261086919887830    3.538051    3.505101    3.629554    1.000000    1.000000    1.000000    3.671130    3.734574    3.592855
101    101    1527261087194039762    3.539093    3.507837    3.647612    1.000000    1.000000    1.000000    3.670503    3.737945    3.605242
102    102    1527261087467908111    3.540150    3.510636    3.651389    1.000000    1.000000    1.000000    3.670056    3.741892    3.622945
103    103    1527261087741773459    3.541188    3.513540    3.651429    1.000000    1.000000    1.000000    3.669709    3.746319    3.632935
104    104    1527261088015592100    3.542212    3.516504    3.652052    1.000000    1.000000    1.000000    3.669408    3.681793    3.637039
105    105    1527261088290106364    3.543135    3.519178    3.642798    1.000000    1.000000    1.000000    3.669094    3.685560    3.635254
106    106    1527261088564889627    3.544010    3.521851    3.639232    1.000000    1.000000    1.000000    3.701644    3.759108    7.245514
107    107    1527261088838435768    3.545012    3.524875    3.655690    1.000000    1.000000    1.000000    3.701080    3.763275    3.638805
108    108    1527261089113135365    3.545864    3.527709    3.640340    1.000000    1.000000    1.000000    3.700367    3.766865    3.621294
109    109    1527261089387385421    3.546753    3.530458    3.646307    1.000000    1.000000    1.000000    3.699684    3.770588    3.623102
110    110    1527261089662227851    3.547558    3.533070    3.638448    1.000000    1.000000    1.000000    3.698979    3.773985    3.619412
111    111    1527261089936104075    3.548458    3.536000    3.651284    1.000000    1.000000    1.000000    3.698480    3.777632    3.641557
112    112    1527261090211051004    3.549223    3.538572    3.637066    1.000000    1.000000    1.000000    3.697768    3.780752    3.615971
113    113    1527261090484949061    3.550091    3.541690    3.650993    1.000000    1.000000    1.000000    3.697255    3.784682    3.637587
114    114    1527261090758957451    3.550933    3.544457    3.649523    1.000000    1.000000    1.000000    3.696904    3.788597    3.655808
115    115    1527261091033164758    3.551738    3.547218    3.646876    1.000000    1.000000    1.000000    3.696540    3.792472    3.653550
116    116    1527261091306949773    3.552576    3.550174    3.652501    1.000000    1.000000    1.000000    3.696061    3.726024    3.638954
117    117    1527261091581012247    3.553370    3.553135    3.648803    1.000000    1.000000    1.000000    3.695617    3.729984    3.642188
118    118    1527261091854444596    3.554218    3.556248    3.657212    1.000000    1.000000    1.000000    3.695074    3.733747    3.629143
119    119    1527261092128724028    3.554963    3.559094    3.645917    1.000000    1.000000    1.000000    3.694423    3.737027    3.614970
120    120    1527261092402666043    3.555731    3.561976    3.650408    1.000000    1.000000    1.000000    3.694030    3.740847    3.645593
121    121    1527261092677524181    3.556392    3.564647    3.638240    1.000000    1.000000    1.000000    3.693471    3.744626    3.624321
122    122    1527261092951792945    3.557104    3.567631    3.646059    1.000000    1.000000    1.000000    3.693008    3.748543    3.635066
123    123    1527261093224978754    3.557914    3.570832    3.660512    1.000000    1.000000    1.000000    3.692506    3.752341    3.629003
124    124    1527261093499052477    3.558622    3.573744    3.648653    1.000000    1.000000    1.000000    3.691889    3.755575    3.613374
125    125    1527261093772641202    3.559368    3.576773    3.655121    1.000000    1.000000    1.000000    3.691361    3.759040    3.623578
126    126    1527261094046388009    3.560087    3.579744    3.653011    1.000000    1.000000    1.000000    3.690922    3.763021    3.634179
127    127    1527261094322280895    3.560582    3.582366    3.624595    1.000000    1.000000    1.000000    3.690243    3.766524    3.602409
128    128    1527261094597677698    3.561118    3.584882    3.631124    1.000000    1.000000    1.000000    3.689715    3.698537    3.620826
129    129    1527261094871548547    3.561795    3.587838    3.651356    1.000000    1.000000    1.000000    3.689551    3.703141    3.667879
