Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527261220680758847    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527261220954981654    7.293339    3.646670    3.646670    1.000000    1.000000    1.000000    2.626875    2.626875    2.626875
2    2    1527261221228536211    5.476678    3.651119    3.655578    1.000000    1.000000    1.000000    2.620225    2.620225    2.613559
3    3    1527261221502790268    4.865994    3.649496    3.646254    1.000000    1.000000    1.000000    2.650685    2.650685    2.711522
4    4    1527261221776447325    4.563341    3.650673    3.654209    1.000000    1.000000    1.000000    2.674418    2.674418    2.745710
5    5    1527261222049781967    4.382687    3.652240    3.658519    1.000000    1.000000    1.000000    2.694201    2.694201    2.773505
6    6    1527261222323310692    4.261662    3.652853    3.655923    1.000000    1.000000    1.000000    2.710165    2.710165    2.790065
7    7    1527261222597372332    4.174029    3.652275    3.648814    1.000000    1.000000    1.000000    2.723200    2.723200    2.801322
8    8    1527261222871815012    4.107608    3.651207    3.643748    1.000000    1.000000    1.000000    2.734314    2.734314    2.811931
9    9    1527261223145961611    4.056461    3.650815    3.647683    1.000000    1.000000    1.000000    3.063497    3.063497    5.694420
10    10    1527261223419102420    4.017027    3.651843    3.661115    1.000000    1.000000    1.000000    3.043334    3.043334    2.861352
11    11    1527261223693297309    3.983352    3.651406    3.647041    1.000000    1.000000    1.000000    3.028145    3.028145    2.876450
12    12    1527261223966898284    3.956010    3.651701    3.654958    1.000000    1.000000    1.000000    3.016816    3.016816    2.892080
13    13    1527261224240382758    3.933000    3.652071    3.656515    1.000000    1.000000    1.000000    3.006432    3.006432    2.881655
14    14    1527261224514287149    3.912844    3.651988    3.650909    1.000000    1.000000    1.000000    2.997843    2.997843    2.886226
15    15    1527261224787980456    3.895577    3.652104    3.653725    1.000000    1.000000    1.000000    2.990575    2.990575    2.888777
16    16    1527261225061585223    3.880546    3.652279    3.654907    1.000000    1.000000    1.000000    2.985245    2.985245    2.905227
17    17    1527261225334600407    3.867772    3.652896    3.662800    1.000000    1.000000    1.000000    2.981242    2.981242    2.917010
18    18    1527261225608317798    3.855865    3.652924    3.653403    1.000000    1.000000    1.000000    2.978091    2.978091    2.924527
19    19    1527261225881739023    3.845429    3.653157    3.657361    1.000000    1.000000    1.000000    2.975363    2.975363    2.926199
20    20    1527261226155272081    3.835957    3.653293    3.655865    1.000000    1.000000    1.000000    2.972811    2.972811    2.924275
21    21    1527261226429391762    3.826997    3.653043    3.648042    1.000000    1.000000    1.000000    2.970349    2.970349    2.921184
22    22    1527261226703630485    3.818776    3.652743    3.646458    1.000000    1.000000    1.000000    2.967666    2.967666    2.911427
23    23    1527261226976739002    3.811956    3.653125    3.661548    1.000000    1.000000    1.000000    2.965919    2.965919    2.927400
24    24    1527261227250195394    3.805501    3.653281    3.656890    1.000000    1.000000    1.000000    2.964698    2.964698    2.936582
25    25    1527261227523706077    3.799532    3.653397    3.656164    1.000000    1.000000    1.000000    2.963273    2.963273    2.929045
26    26    1527261227797828217    3.793696    3.653189    3.648009    1.000000    1.000000    1.000000    2.961381    2.961381    2.914135
