Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260894078762155    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260894365579054    6.973090    3.486545    3.486545    1.000000    1.000000    1.000000    2.713801    2.713801    2.713801
2    2    1527260894652101871    5.232500    3.488333    3.490123    1.000000    1.000000    1.000000    2.647514    2.647514    2.581159
3    3    1527260894939323436    4.648129    3.486097    3.481633    1.000000    1.000000    1.000000    2.664721    2.664721    2.699070
4    4    1527260895225708295    4.359403    3.487522    3.491805    1.000000    1.000000    1.000000    2.685191    2.685191    2.746699
5    5    1527260895512547736    4.184726    3.487272    3.486271    1.000000    1.000000    1.000000    2.697813    2.697813    2.748287
6    6    1527260895799698593    4.067553    3.486474    3.482490    1.000000    1.000000    1.000000    3.176141    3.176141    5.564497
7    7    1527260896086815283    3.983958    3.485964    3.482904    1.000000    1.000000    1.000000    3.122639    3.122639    2.801962
8    8    1527260896373000601    3.922870    3.486996    3.494239    1.000000    1.000000    1.000000    3.087912    3.087912    2.844244
9    9    1527260896659660542    3.874620    3.487158    3.488454    1.000000    1.000000    1.000000    3.061653    3.061653    2.851490
10    10    1527260896946694399    3.835516    3.486833    3.483910    1.000000    1.000000    1.000000    3.040886    3.040886    2.854162
11    11    1527260897233484882    3.803821    3.486836    3.486866    1.000000    1.000000    1.000000    3.026932    3.026932    2.887383
12    12    1527260897521209321    3.776383    3.485892    3.475548    1.000000    1.000000    1.000000    3.012336    3.012336    2.852299
13    13    1527260897806664724    3.755463    3.487216    3.503174    1.000000    1.000000    1.000000    3.002234    3.002234    2.880411
14    14    1527260898092808916    3.736877    3.487752    3.494742    1.000000    1.000000    1.000000    2.993763    2.993763    2.883403
15    15    1527260898378528485    3.721132    3.488561    3.499935    1.000000    1.000000    1.000000    2.986407    2.986407    2.883061
16    16    1527260898665345551    3.706463    3.488435    3.486543    1.000000    1.000000    1.000000    2.980526    2.980526    2.892373
17    17    1527260898952447533    3.693304    3.488120    3.483083    1.000000    1.000000    1.000000    2.975803    2.975803    2.900339
18    18    1527260899239289683    3.681794    3.488016    3.486238    1.000000    1.000000    1.000000    3.132949    3.132949    5.802986
19    19    1527260899526341206    3.671356    3.487788    3.483695    1.000000    1.000000    1.000000    3.121552    3.121552    2.916678
20    20    1527260899813247814    3.662055    3.487671    3.485455    1.000000    1.000000    1.000000    3.110703    3.110703    2.904708
21    21    1527260900099242049    3.654194    3.488094    3.496574    1.000000    1.000000    1.000000    3.101034    3.101034    2.907146
22    22    1527260900386701613    3.646199    3.487668    3.478750    1.000000    1.000000    1.000000    3.092304    3.092304    2.909477
23    23    1527260900674218886    3.638869    3.487249    3.478052    1.000000    1.000000    1.000000    3.085241    3.085241    2.930269
24    24    1527260900961163368    3.632453    3.487155    3.484995    1.000000    1.000000    1.000000    3.078108    3.078108    2.914170
25    25    1527260901246922145    3.627151    3.487645    3.499455    1.000000    1.000000    1.000000    3.071565    3.071565    2.913979
26    26    1527260901533816794    3.621704    3.487567    3.485600    1.000000    1.000000    1.000000    3.064864    3.064864    2.897433
27    27    1527260901820832068    3.616604    3.487439    3.484135    1.000000    1.000000    1.000000    3.059087    3.059087    2.909026
28    28    1527260902105998930    3.612700    3.488124    3.506719    1.000000    1.000000    1.000000    3.054566    3.054566    2.931838
29    29    1527260902391693874    3.608835    3.488540    3.500237    1.000000    1.000000    1.000000    3.050337    3.050337    2.931497
30    30    1527260902677913775    3.605007    3.488716    3.493817    1.000000    1.000000    1.000000    3.142870    3.142870    5.830405
31    31    1527260902965757297    3.600767    3.488243    3.474110    1.000000    1.000000    1.000000    3.134980    3.134980    2.899259
32    32    1527260903251029075    3.597802    3.488778    3.505429    1.000000    1.000000    1.000000    3.128473    3.128473    2.925771
33    33    1527260903536774602    3.594836    3.489105    3.499617    1.000000    1.000000    1.000000    3.122401    3.122401    2.927479
34    34    1527260903822982795    3.591873    3.489248    3.493960    1.000000    1.000000    1.000000    3.116475    3.116475    2.920647
35    35    1527260904110534276    3.588598    3.488915    3.477638    1.000000    1.000000    1.000000    3.110640    3.110640    2.912901
36    36    1527260904397199175    3.585814    3.488900    3.488394    1.000000    1.000000    1.000000    3.105414    3.105414    2.922548
37    37    1527260904684052700    3.583117    3.488825    3.486100    1.000000    1.000000    1.000000    3.100535    3.100535    2.925036
