Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
54    54    1527260034921558641    3.246350    3.187360    3.191372    1.000000    1.000000    1.000000    4.944720    4.994150    4.319286
55    55    1527260035235453014    3.245248    3.187279    3.185785    1.000000    1.000000    1.000000    4.933021    5.001907    4.301568
56    56    1527260035549122095    3.244227    3.187329    3.188073    1.000000    1.000000    1.000000    4.922503    5.009711    4.343865
57    57    1527260035862885718    3.243225    3.187280    3.187113    1.000000    1.000000    1.000000    4.988239    5.103351    8.669259
58    58    1527260036176672341    3.242253    3.187341    3.186879    1.000000    1.000000    1.000000    4.977422    5.109369    4.360922
59    59    1527260036490143214    3.241370    3.187490    3.190089    1.000000    1.000000    1.000000    4.967437    5.034248    4.387798
60    60    1527260036803760004    3.240491    3.187506    3.188605    1.000000    1.000000    1.000000    4.957961    5.041317    4.398668
61    61    1527260037117409336    3.239635    3.187510    3.188274    1.000000    1.000000    1.000000    4.948375    5.046543    4.373072
62    62    1527260037431031084    3.238812    3.187624    3.188554    1.000000    1.000000    1.000000    5.009403    5.139148    8.733441
63    63    1527260037744331500    3.238067    3.187691    3.191825    1.000000    1.000000    1.000000    4.999343    5.144099    4.374744
64    64    1527260038058178331    3.237257    3.187682    3.186268    1.000000    1.000000    1.000000    4.989600    5.065500    4.376077
65    65    1527260038371762871    3.236514    3.187691    3.188933    1.000000    1.000000    1.000000    4.980486    5.069326    4.396865
66    66    1527260038685483077    3.235772    3.187741    3.187554    1.000000    1.000000    1.000000    4.971730    5.073288    4.402620
67    67    1527260038999062784    3.235074    3.187680    3.188982    1.000000    1.000000    1.000000    5.029326    5.166353    8.832411
68    68    1527260039312782740    3.234375    3.187724    3.187556    1.000000    1.000000    1.000000    5.019337    5.169826    4.350058
69    69    1527260039626172239    3.233746    3.187805    3.190917    1.000000    1.000000    1.000000    5.010159    5.173577    4.385425
70    70    1527260039939951779    3.233078    3.187816    3.186951    1.000000    1.000000    1.000000    5.001371    5.093316    4.395140
71    71    1527260040253559027    3.232453    3.187823    3.188702    1.000000    1.000000    1.000000    4.992505    5.096528    4.371615
72    72    1527260040566966192    3.231874    3.187821    3.190738    1.000000    1.000000    1.000000    4.984067    5.099767    4.384392
73    73    1527260040880613940    3.231277    3.187865    3.188290    1.000000    1.000000    1.000000    5.035897    5.189951    8.768416
74    74    1527260041194022939    3.230730    3.187884    3.190719    1.000000    1.000000    1.000000    5.027496    5.193087    4.413670
75    75    1527260041507369771    3.230205    3.187934    3.191352    1.000000    1.000000    1.000000    5.019727    5.112779    4.444146
76    76    1527260041820911187    3.229668    3.187956    3.189371    1.000000    1.000000    1.000000    5.011343    5.115813    4.382219
77    77    1527260042134572351    3.229129    3.187945    3.188154    1.000000    1.000000    1.000000    5.003066    5.118777    4.373895
78    78    1527260042448494766    3.228569    3.187937    3.185500    1.000000    1.000000    1.000000    5.051738    5.209821    8.796922
79    79    1527260042762060639    3.228070    3.187935    3.189123    1.000000    1.000000    1.000000    5.043127    5.211506    4.371104
80    80    1527260043075654012    3.227580    3.187939    3.188843    1.000000    1.000000    1.000000    5.035221    5.126924    4.410422
81    81    1527260043389495302    3.227070    3.187922    3.186324    1.000000    1.000000    1.000000    5.027630    5.130315    4.420668
82    82    1527260043703480174    3.226555    3.187778    3.184867    1.000000    1.000000    1.000000    5.020396    5.134262    4.434978
83    83    1527260044017645754    3.226030    3.187621    3.183035    1.000000    1.000000    1.000000    5.065753    5.224259    8.779549
84    84    1527260044331436544    3.225564    3.187670    3.186837    1.000000    1.000000    1.000000    5.057622    5.226813    4.382949
85    85    1527260044645039292    3.225131    3.187767    3.188748    1.000000    1.000000    1.000000    5.049621    5.143238    4.377325
86    86    1527260044958857581    3.224682    3.187713    3.186557    1.000000    1.000000    1.000000    5.041944    5.144953    4.389585
87    87    1527260045272251497    3.224294    3.187771    3.190872    1.000000    1.000000    1.000000    5.034757    5.146918    4.416033
88    88    1527260045586817701    3.223777    3.187615    3.178981    1.000000    1.000000    1.000000    5.027863    5.148956    4.429707
89    89    1527260045900328366    3.223395    3.187668    3.189684    1.000000    1.000000    1.000000    5.071356    5.241213    8.901359
90    90    1527260046213792115    3.223026    3.187693    3.190162    1.000000    1.000000    1.000000    5.063972    5.244472    4.406245
91    91    1527260046527617446    3.222624    3.187689    3.186486    1.000000    1.000000    1.000000    5.056869    5.161378    4.417849
92    92    1527260046841581068    3.222216    3.187714    3.185082    1.000000    1.000000    1.000000    5.049748    5.163455    4.402252
93    93    1527260047155005692    3.221875    3.187866    3.190560    1.000000    1.000000    1.000000    5.043239    5.165815    4.443773
94    94    1527260047469292439    3.221448    3.187747    3.181808    1.000000    1.000000    1.000000    5.083698    5.255983    8.839561
95    95    1527260047783479185    3.221041    3.187774    3.182820    1.000000    1.000000    1.000000    5.076717    5.257468    4.421517
96    96    1527260048097022059    3.220711    3.187845    3.189356    1.000000    1.000000    1.000000    5.070138    5.173660    4.444716
97    97    1527260048410700724    3.220374    3.187937    3.187976    1.000000    1.000000    1.000000    5.064012    5.177280    4.475873
98    98    1527260048724805262    3.219999    3.187865    3.183653    1.000000    1.000000    1.000000    5.057327    5.179270    4.409669
99    99    1527260049038674593    3.219656    3.187848    3.186039    1.000000    1.000000    1.000000    5.095619    5.270075    8.846478
