Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260555089665842    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260555390915746    6.639006    3.319503    3.319503    1.000000    1.000000    1.000000    3.647739    3.647739    3.647739
2    2    1527260555690666655    4.991674    3.327782    3.336103    1.000000    1.000000    1.000000    3.545451    3.545451    3.442652
3    3    1527260555990902895    4.438344    3.328758    3.330711    1.000000    1.000000    1.000000    3.544983    3.544983    3.544046
4    4    1527260556290531304    4.163664    3.330931    3.337467    1.000000    1.000000    1.000000    3.557040    3.557040    3.593307
5    5    1527260556591514251    3.995077    3.329231    3.322447    1.000000    1.000000    1.000000    4.295843    4.295843    7.243527
6    6    1527260556890970035    3.886073    3.330920    3.339391    1.000000    1.000000    1.000000    4.194130    4.194130    3.684013
7    7    1527260557191193359    3.806755    3.330910    3.330854    1.000000    1.000000    1.000000    4.123953    4.123953    3.702897
8    8    1527260557491730723    3.746776    3.330468    3.327373    1.000000    1.000000    1.000000    4.073487    4.073487    3.720602
9    9    1527260557793566960    3.698360    3.328524    3.313055    1.000000    1.000000    1.000000    4.034722    4.034722    3.726223
10    10    1527260558094724198    3.660495    3.327723    3.320525    1.000000    1.000000    1.000000    4.007388    4.007388    3.761972
11    11    1527260558394679522    3.630847    3.328277    3.333830    1.000000    1.000000    1.000000    3.987502    3.987502    3.788281
12    12    1527260558694747180    3.606021    3.328635    3.332582    1.000000    1.000000    1.000000    4.290882    4.290882    7.632372
13    13    1527260558995353461    3.584516    3.328479    3.326610    1.000000    1.000000    1.000000    4.252691    4.252691    3.794681
14    14    1527260559295419160    3.566543    3.328773    3.332604    1.000000    1.000000    1.000000    4.220303    4.220303    3.798741
15    15    1527260559595717484    3.550780    3.328856    3.330022    1.000000    1.000000    1.000000    4.194177    4.194177    3.828266
16    16    1527260559895751183    3.537182    3.329113    3.332959    1.000000    1.000000    1.000000    4.172432    4.172432    3.845858
17    17    1527260560196836088    3.524457    3.328653    3.321322    1.000000    1.000000    1.000000    4.153354    4.153354    3.848818
18    18    1527260560496991912    3.513751    3.328817    3.331603    1.000000    1.000000    1.000000    4.137618    4.137618    3.869867
19    19    1527260560798166817    3.503547    3.328369    3.320330    1.000000    1.000000    1.000000    4.327804    4.327804    7.742425
20    20    1527260561099605304    3.494212    3.327821    3.317426    1.000000    1.000000    1.000000    4.304651    4.304651    3.866195
21    21    1527260561400782500    3.485912    3.327462    3.320305    1.000000    1.000000    1.000000    4.285181    4.285181    3.896670
22    22    1527260561701042616    3.478852    3.327597    3.330446    1.000000    1.000000    1.000000    4.267671    4.267671    3.899615
23    23    1527260562002482603    3.471812    3.327153    3.317410    1.000000    1.000000    1.000000    4.251158    4.251158    3.888996
24    24    1527260562302538886    3.466025    3.327384    3.332708    1.000000    1.000000    1.000000    4.236757    4.236757    3.904974
25    25    1527260562603770082    3.460160    3.327077    3.319709    1.000000    1.000000    1.000000    4.222485    4.222485    3.880760
26    26    1527260562904728071    3.454867    3.326909    3.322723    1.000000    1.000000    1.000000    4.359707    4.359707    7.785751
27    27    1527260563205114894    3.450210    3.326988    3.329041    1.000000    1.000000    1.000000    4.342971    4.342971    3.907575
28    28    1527260563505674884    3.445814    3.326993    3.327123    1.000000    1.000000    1.000000    4.327653    4.327653    3.914041
29    29    1527260563805676291    3.441942    3.327210    3.333318    1.000000    1.000000    1.000000    4.314096    4.314096    3.933785
30    30    1527260564105940115    3.438227    3.327317    3.330405    1.000000    1.000000    1.000000    4.300869    4.300869    3.916919
31    31    1527260564407349811    3.434330    3.327007    3.317743    1.000000    1.000000    1.000000    4.288302    4.288302    3.912376
32    32    1527260564707951092    3.430965    3.326996    3.326666    1.000000    1.000000    1.000000    4.276678    4.276678    3.916361
33    33    1527260565009210955    3.427577    3.326765    3.319393    1.000000    1.000000    1.000000    4.386072    4.386072    7.878670
34    34    1527260565310030569    3.424535    3.326691    3.324251    1.000000    1.000000    1.000000    4.373179    4.373179    3.948044
35    35    1527260565610846641    3.421669    3.326623    3.324290    1.000000    1.000000    1.000000    4.360226    4.360226    3.920160
36    36    1527260565911125881    3.419132    3.326723    3.330234    1.000000    1.000000    1.000000    4.348588    4.348588    3.940785
37    37    1527260566210990956    3.416859    3.326942    3.334833    1.000000    1.000000    1.000000    4.337319    4.337319    3.930671
38    38    1527260566512231444    3.414294    3.326748    3.319607    1.000000    1.000000    1.000000    4.326499    4.326499    3.927029
39    39    1527260566812276727    3.412209    3.326904    3.332830    1.000000    1.000000    1.000000    4.316370    4.316370    3.930760
40    40    1527260567112831341    3.410084    3.326911    3.327182    1.000000    1.000000    1.000000    4.306430    4.306430    3.918762
41    41    1527260567413300498    3.408085    3.326941    3.328129    1.000000    1.000000    1.000000    4.394118    4.394118    7.902924
42    42    1527260567713587821    3.406231    3.327017    3.330144    1.000000    1.000000    1.000000    4.384109    4.384109    3.973341
43    43    1527260568014262394    3.404362    3.326990    3.325855    1.000000    1.000000    1.000000    4.374677    4.374677    3.978670
44    44    1527260568314164385    3.402776    3.327158    3.334423    1.000000    1.000000    1.000000    4.365752    4.365752    3.981104
45    45    1527260568614855875    3.401061    3.327125    3.325668    1.000000    1.000000    1.000000    4.356979    4.356979    3.971143
46    46    1527260568915794280    3.399361    3.327034    3.322939    1.000000    1.000000    1.000000    4.347961    4.347961    3.942641
47    47    1527260569216498853    3.397789    3.327002    3.325523    1.000000    1.000000    1.000000    4.339548    4.339548    3.952747
48    48    1527260569517472466    3.396220    3.326909    3.322550    1.000000    1.000000    1.000000    4.412968    4.412968    7.859068
49    49    1527260569817991123    3.394819    3.326923    3.327580    1.000000    1.000000    1.000000    4.403500    4.403500    3.948959
50    50    1527260570117416740    3.393721    3.327178    3.339728    1.000000    1.000000    1.000000    4.395005    4.395005    3.977148
51    51    1527260570418109854    3.392386    3.327301    3.325650    1.000000    1.000000    1.000000    4.386509    4.401319    3.961916
52    52    1527260570718470678    3.391174    3.327166    3.329329    1.000000    1.000000    1.000000    4.377849    4.411139    3.935906
53    53    1527260571018331794    3.390114    3.327249    3.334877    1.000000    1.000000    1.000000    4.369990    4.419468    3.960353
54    54    1527260571318639034    3.389001    3.327099    3.329923    1.000000    1.000000    1.000000    4.362425    4.426781    3.961157
55    55    1527260571619703356    3.387772    3.327081    3.321549    1.000000    1.000000    1.000000    4.427723    4.440903    7.947657
56    56    1527260571921924675    3.386355    3.326468    3.308833    1.000000    1.000000    1.000000    4.419445    4.446446    3.966663
57    57    1527260572222075540    3.385397    3.326485    3.331658    1.000000    1.000000    1.000000    4.411673    4.451900    3.975831
58    58    1527260572522796821    3.384361    3.326444    3.325338    1.000000    1.000000    1.000000    4.404078    4.456909    3.971385
59    59    1527260572822714688    3.383513    3.326869    3.334246    1.000000    1.000000    1.000000    4.396655    4.461771    3.965196
60    60    1527260573123750926    3.382484    3.326895    3.321859    1.000000    1.000000    1.000000    4.389596    4.466019    3.973771
61    61    1527260573423283168    3.381766    3.326989    3.338539    1.000000    1.000000    1.000000    4.383363    4.470419    4.008076
62    62    1527260573723670658    3.380916    3.326918    3.329033    1.000000    1.000000    1.000000    4.441498    4.477628    7.989687
63    63    1527260574023795316    3.380140    3.327025    3.331949    1.000000    1.000000    1.000000    4.434421    4.481650    3.995017
64    64    1527260574324253889    3.379329    3.326938    3.328246    1.000000    1.000000    1.000000    4.427638    4.485659    4.000175
65    65    1527260574625264002    3.378448    3.326780    3.322148    1.000000    1.000000    1.000000    4.421139    4.489185    4.005859
66    66    1527260574925184244    3.377779    3.326805    3.334220    1.000000    1.000000    1.000000    4.414946    4.492497    4.011593
67    67    1527260575226237024    3.376940    3.326813    3.321677    1.000000    1.000000    1.000000    4.408652    4.495406    3.993951
68    68    1527260575527483803    3.376094    3.326571    3.319538    1.000000    1.000000    1.000000    4.402771    4.498161    4.009616
69    69    1527260575827676294    3.375444    3.326789    3.331196    1.000000    1.000000    1.000000    4.397253    4.423631    4.021570
70    70    1527260576127796784    3.374825    3.327080    3.331995    1.000000    1.000000    1.000000    4.448231    4.505651    7.970799
71    71    1527260576428224066    3.374174    3.327246    3.328593    1.000000    1.000000    1.000000    4.441622    4.507322    3.978780
72    72    1527260576727396726    3.373736    3.327487    3.342551    1.000000    1.000000    1.000000    4.435330    4.509097    3.986551
