Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1526401620962887447    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1526401621261365900    6.700651    3.350326    3.350326    1.000000    1.000000    1.000000    1.722674    1.722674    1.722674
2    2    1526401621559755062    5.026240    3.350827    3.351328    1.000000    1.000000    1.000000    1.738695    1.738695    1.754722
3    3    1526401621857542184    4.470999    3.353249    3.358104    1.000000    1.000000    1.000000    1.806252    1.806252    1.941659
4    4    1526401622155276139    4.193264    3.354611    3.358703    1.000000    1.000000    1.000000    1.845880    1.845880    1.964956
5    5    1526401622452867469    4.026900    3.355750    3.360313    1.000000    1.000000    1.000000    2.274549    2.274549    3.992143
6    6    1526401622751594797    3.913441    3.354378    3.347534    1.000000    1.000000    1.000000    2.229754    2.229754    2.006328
7    7    1526401623050425874    3.832265    3.353232    3.346372    1.000000    1.000000    1.000000    2.198623    2.198623    2.012284
8    8    1526401623350036699    3.770187    3.351278    3.337663    1.000000    1.000000    1.000000    2.179716    2.179716    2.047977
9    9    1526401623647719238    3.724628    3.352165    3.359283    1.000000    1.000000    1.000000    2.167544    2.167544    2.069940
10    10    1526401623945760609    3.687720    3.352472    3.355239    1.000000    1.000000    1.000000    2.157595    2.157595    2.067968
11    11    1526401624243605689    3.657736    3.352924    3.357450    1.000000    1.000000    1.000000    2.148123    2.148123    2.053262
12    12    1526401624541085936    3.633113    3.353643    3.361568    1.000000    1.000000    1.000000    2.141514    2.141514    2.068628
13    13    1526401624838976974    3.611888    3.353896    3.356932    1.000000    1.000000    1.000000    2.294242    2.294242    4.128775
14    14    1526401625136485263    3.594021    3.354420    3.361251    1.000000    1.000000    1.000000    2.278135    2.278135    2.068285
15    15    1526401625433696470    3.578771    3.355098    3.364611    1.000000    1.000000    1.000000    2.264168    2.264168    2.068041
16    16    1526401625731678882    3.564845    3.355148    3.355903    1.000000    1.000000    1.000000    2.252109    2.252109    2.071183
17    17    1526401626029201046    3.552879    3.355497    3.361094    1.000000    1.000000    1.000000    2.242758    2.242758    2.092876
18    18    1526401626326720502    3.542243    3.355809    3.361125    1.000000    1.000000    1.000000    2.234736    2.234736    2.098128
19    19    1526401626624752081    3.532405    3.355785    3.355349    1.000000    1.000000    1.000000    2.227586    2.227586    2.098895
20    20    1526401626922667619    3.523620    3.355828    3.356656    1.000000    1.000000    1.000000    2.220374    2.220374    2.083309
21    21    1526401627220137408    3.515922    3.356107    3.361686    1.000000    1.000000    1.000000    2.313329    2.313329    4.175681
22    22    1526401627517642781    3.508903    3.356342    3.361284    1.000000    1.000000    1.000000    2.302971    2.302971    2.085122
23    23    1526401627815612860    3.502256    3.356329    3.356042    1.000000    1.000000    1.000000    2.293521    2.293521    2.085649
24    24    1526401628113479232    3.496214    3.356366    3.357210    1.000000    1.000000    1.000000    2.285288    2.285288    2.095859
25    25    1526401628411128854    3.490757    3.356497    3.359655    1.000000    1.000000    1.000000    2.277501    2.277501    2.090448
26    26    1526401628709066933    3.485589    3.356493    3.356402    1.000000    1.000000    1.000000    2.270182    2.270182    2.087209
27    27    1526401629006709472    3.480932    3.356613    3.359735    1.000000    1.000000    1.000000    2.263254    2.263254    2.082945
28    28    1526401629304357011    3.476606    3.356723    3.359678    1.000000    1.000000    1.000000    2.256778    2.256778    2.081771
29    29    1526401629602235174    3.472484    3.356735    3.357077    1.000000    1.000000    1.000000    2.323265    2.323265    4.185094
30    30    1526401629899875254    3.468730    3.356836    3.359763    1.000000    1.000000    1.000000    2.315925    2.315925    2.102875
31    31    1526401630197426293    3.465252    3.356962    3.360768    1.000000    1.000000    1.000000    2.309067    2.309067    2.103095
32    32    1526401630495272581    3.461883    3.356977    3.357437    1.000000    1.000000    1.000000    2.302104    2.302104    2.086197
33    33    1526401630793184952    3.458695    3.356969    3.356692    1.000000    1.000000    1.000000    2.295505    2.295505    2.084358
34    34    1526401631090466367    3.455910    3.357169    3.363816    1.000000    1.000000    1.000000    2.289571    2.289571    2.093373
35    35    1526401631387858031    3.453247    3.357324    3.362569    1.000000    1.000000    1.000000    2.284221    2.284221    2.102019
36    36    1526401631685520987    3.450645    3.357384    3.359504    1.000000    1.000000    1.000000    2.337002    2.337002    4.185519
37    37    1526401631983288942    3.448150    3.357409    3.358320    1.000000    1.000000    1.000000    2.330254    2.330254    2.087280
38    38    1526401632280806897    3.445863    3.357507    3.361142    1.000000    1.000000    1.000000    2.324112    2.324112    2.096593
39    39    1526401632578525602    3.443633    3.357543    3.358875    1.000000    1.000000    1.000000    2.317773    2.317773    2.076799
40    40    1526401632875739684    3.441661    3.357718    3.364578    1.000000    1.000000    1.000000    2.311798    2.311798    2.078273
41    41    1526401633173133640    3.439734    3.357836    3.362543    1.000000    1.000000    1.000000    2.306403    2.306403    2.090295
42    42    1526401633470647054    3.437866    3.357915    3.361193    1.000000    1.000000    1.000000    2.301684    2.301684    2.108036
43    43    1526401633768287717    3.436050    3.357958    3.359756    1.000000    1.000000    1.000000    2.297328    2.297328    2.114261
44    44    1526401634065647882    3.434391    3.358071    3.362925    1.000000    1.000000    1.000000    2.340925    2.340925    4.218376
45    45    1526401634363425712    3.432698    3.358074    3.358208    1.000000    1.000000    1.000000    2.335239    2.335239    2.085041
46    46    1526401634661291208    3.431057    3.358055    3.357220    1.000000    1.000000    1.000000    2.329860    2.329860    2.087858
47    47    1526401634959467912    3.429409    3.357963    3.353716    1.000000    1.000000    1.000000    2.324769    2.324769    2.090874
48    48    1526401635256984326    3.427989    3.358029    3.361159    1.000000    1.000000    1.000000    2.319834    2.319834    2.087660
49    49    1526401635555105572    3.426484    3.357954    3.354340    1.000000    1.000000    1.000000    2.314890    2.314890    2.077846
50    50    1526401635852733402    3.425153    3.357993    3.359901    1.000000    1.000000    1.000000    2.310440    2.310440    2.092301
51    51    1526401636150635815    3.423812    3.358123    3.356804    1.000000    1.000000    1.000000    2.306422    2.318124    2.105575
52    52    1526401636448896769    3.422444    3.358152    3.352769    1.000000    1.000000    1.000000    2.342109    2.366298    4.159304
53    53    1526401636742967900    3.422036    3.358990    3.400538    1.000000    1.000000    1.000000    2.337779    2.369725    2.109779
54    54    1526401637036213492    3.421818    3.360003    3.410111    1.000000    1.000000    1.000000    2.333808    2.372905    2.120138
55    55    1526401637329633624    3.421572    3.360945    3.408082    1.000000    1.000000    1.000000    2.330198    2.335772    2.132451
56    56    1526401637623150465    3.421315    3.362123    3.406960    1.000000    1.000000    1.000000    2.326969    2.338662    2.146909
57    57    1526401637915879141    3.421225    3.363503    3.416133    1.000000    1.000000    1.000000    2.323807    2.341386    2.143828
58    58    1526401638208918400    3.421077    3.364991    3.412512    1.000000    1.000000    1.000000    2.320772    2.343433    2.145194
59    59    1526401638501977575    3.420930    3.366038    3.412280    1.000000    1.000000    1.000000    2.317773    2.344926    2.141295
60    60    1526401638795394833    3.420719    3.367086    3.408116    1.000000    1.000000    1.000000    2.314629    2.346173    2.126705
61    61    1526401639088349133    3.420603    3.368196    3.413502    1.000000    1.000000    1.000000    2.346814    2.390725    4.305948
62    62    1526401639381654350    3.420424    3.369143    3.409418    1.000000    1.000000    1.000000    2.343706    2.392457    2.151653
63    63    1526401639675049441    3.420235    3.370164    3.408373    1.000000    1.000000    1.000000    2.340501    2.352586    2.139262
64    64    1526401639967917533    3.420147    3.371219    3.414506    1.000000    1.000000    1.000000    2.337570    2.354295    2.150309
65    65    1526401640260904458    3.420041    3.372179    3.413122    1.000000    1.000000    1.000000    2.334671    2.355930    2.146659
66    66    1526401640554029509    3.419913    3.373284    3.411513    1.000000    1.000000    1.000000    2.331890    2.357558    2.148779
67    67    1526401640847059476    3.419805    3.374307    3.412620    1.000000    1.000000    1.000000    2.329125    2.358654    2.144262
68    68    1526401641139916443    3.419730    3.375369    3.414636    1.000000    1.000000    1.000000    2.326363    2.359541    2.138839
69    69    1526401641432648244    3.419678    3.376577    3.416096    1.000000    1.000000    1.000000    2.323716    2.360472    2.141247
70    70    1526401641726036169    3.419520    3.377610    3.408457    1.000000    1.000000    1.000000    2.351336    2.404061    4.278411
71    71    1526401642019443176    3.419363    3.378537    3.408235    1.000000    1.000000    1.000000    2.348274    2.363048    2.131544
72    72    1526401642312203311    3.419313    3.379621    3.415766    1.000000    1.000000    1.000000    2.345471    2.364301    2.143892
73    73    1526401642605389777    3.419198    3.380713    3.410799    1.000000    1.000000    1.000000    2.342772    2.365591    2.146221
74    74    1526401642898505827    3.419097    3.381800    3.411618    1.000000    1.000000    1.000000    2.339976    2.366425    2.133530
75    75    1526401643191209378    3.419062    3.382932    3.416426    1.000000    1.000000    1.000000    2.337446    2.367654    2.147873
76    76    1526401643484655803    3.418914    3.383960    3.407777    1.000000    1.000000    1.000000    2.334787    2.368656    2.133357
77    77    1526401643777993186    3.418788    3.384946    3.409044    1.000000    1.000000    1.000000    2.332019    2.369466    2.119515
78    78    1526401644070945653    3.418721    3.386022    3.413523    1.000000    1.000000    1.000000    2.329509    2.370594    2.134008
79    79    1526401644363820620    3.418667    3.387170    3.414426    1.000000    1.000000    1.000000    2.354025    2.372027    4.288349
80    80    1526401644657109462    3.418555    3.388169    3.409608    1.000000    1.000000    1.000000    2.351212    2.372583    2.126825
81    81    1526401644949981804    3.418505    3.389243    3.414457    1.000000    1.000000    1.000000    2.348641    2.373412    2.140581
82    82    1526401645243086729    3.418423    3.390333    3.411748    1.000000    1.000000    1.000000    2.346045    2.374447    2.133601
83    83    1526401645536081113    3.418359    3.391464    3.413035    1.000000    1.000000    1.000000    2.343455    2.375427    2.128802
84    84    1526401645829123330    3.418290    3.392439    3.412478    1.000000    1.000000    1.000000    2.340935    2.376229    2.129639
85    85    1526401646121935006    3.418253    3.393494    3.415164    1.000000    1.000000    1.000000    2.338599    2.377074    2.140266
86    86    1526401646415016306    3.418182    3.394549    3.412023    1.000000    1.000000    1.000000    2.336195    2.335607    2.129771
87    87    1526401646708459897    3.418063    3.395546    3.407810    1.000000    1.000000    1.000000    2.333895    2.336619    2.134390
88    88    1526401647001667530    3.417979    3.396540    3.410552    1.000000    1.000000    1.000000    2.355896    2.380334    4.287811
89    89    1526401647294641372    3.417927    3.397636    3.413274    1.000000    1.000000    1.000000    2.353472    2.381649    2.137976
90    90    1526401647587657631    3.417870    3.398605    3.412780    1.000000    1.000000    1.000000    2.351194    2.383094    2.146475
91    91    1526401647880706556    3.417810    3.399609    3.412399    1.000000    1.000000    1.000000    2.349157    2.384651    2.164076
92    92    1526401648173648940    3.417765    3.400666    3.413641    1.000000    1.000000    1.000000    2.347011    2.385570    2.149873
93    93    1526401648466537033    3.417728    3.401766    3.414273    1.000000    1.000000    1.000000    2.344772    2.386107    2.136772
94    94    1526401648759626541    3.417667    3.402754    3.411927    1.000000    1.000000    1.000000    2.342704    2.344291    2.148627
95    95    1526401649052425592    3.417643    3.403908    3.415312    1.000000    1.000000    1.000000    2.340567    2.345428    2.137715
96    96    1526401649345466892    3.417589    3.405026    3.412488    1.000000    1.000000    1.000000    2.338456    2.346475    2.136050
97    97    1526401649638837983    3.417498    3.406141    3.408652    1.000000    1.000000    1.000000    2.358295    2.390261    4.277620
98    98    1526401649931883284    3.417447    3.407178    3.412442    1.000000    1.000000    1.000000    2.356084    2.391393    2.139737
99    99    1526401650224835334    3.417407    3.408379    3.413528    1.000000    1.000000    1.000000    2.353890    2.392684    2.136971
100    100    1526401650519870921    3.417128    3.408982    3.389422    1.000000    1.000000    1.000000    2.351575    2.393334    2.121941
