inst_per_warp,kernelname,branch_efficiency,warp_execution_efficiency,warp_nonpred_execution_efficiency,inst_replay_overhead,shared_load_transactions_per_request,shared_store_transactions_per_request,local_load_transactions_per_request,local_store_transactions_per_request,gld_transactions_per_request,gst_transactions_per_request,shared_store_transactions,shared_load_transactions,local_load_transactions,local_store_transactions,gld_transactions,gst_transactions,sysmem_read_transactions,sysmem_write_transactions,l2_read_transactions,l2_write_transactions,dram_read_transactions,dram_write_transactions,global_hit_rate,local_hit_rate,gld_requested_throughput,gst_requested_throughput,gld_throughput,gst_throughput,local_memory_overhead,tex_cache_hit_rate,l2_tex_read_hit_rate,l2_tex_write_hit_rate,dram_read_throughput,dram_write_throughput,tex_cache_throughput,l2_tex_read_throughput,l2_tex_write_throughput,l2_read_throughput,l2_write_throughput,sysmem_read_throughput,sysmem_write_throughput,local_load_throughput,local_store_throughput,shared_load_throughput,shared_store_throughput,gst_efficiency,tex_cache_transactions,flop_count_dp,flop_count_dp_add,flop_count_dp_fma,flop_count_dp_mul,flop_count_sp,flop_count_sp_add,flop_count_sp_fma,flop_count_sp_mul,flop_count_sp_special,inst_executed,inst_issued,dram_utilization,sysmem_utilization,stall_inst_fetch,stall_exec_dependency,stall_memory_dependency,stall_texture,stall_sync,stall_other,stall_constant_memory_dependency,stall_pipe_busy,shared_efficiency,inst_fp_32,inst_fp_64,inst_integer,inst_bit_convert,inst_control,inst_compute_ld_st,inst_misc,inst_inter_thread_communication,issue_slots,cf_issued,cf_executed,ldst_issued,ldst_executed,atomic_transactions,atomic_transactions_per_request,l2_atomic_throughput,l2_atomic_transactions,l2_tex_read_transactions,stall_memory_throttle,stall_not_selected,l2_tex_write_transactions,flop_count_hp,flop_count_hp_add,flop_count_hp_mul,flop_count_hp_fma,inst_fp_16,ipc,issued_ipc,issue_slot_utilization,sm_efficiency,achieved_occupancy,eligible_warps_per_cycle,shared_utilization,l2_utilization,tex_utilization,ldst_fu_utilization,cf_fu_utilization,special_fu_utilization,half_precision_fu_utilization,single_precision_fu_utilization,double_precision_fu_utilization,flop_hp_efficiency,flop_sp_efficiency,flop_dp_efficiency,sysmem_read_utilization,sysmem_write_utilization,architecture,application_name,input
23.0,STREAM_Triad,1.0,1.0,0.956521,0.000312,0.0,0.0,0.0,0.0,16.000003,4.0,0,0,0,0,10002818,1250352,0,5,2500872,1250374,2500716,1251844,0.0,0.0,363152369778.688,181576184889.344,363152369778.688,181576184889.344,0.0,0.5,0.0,0.0,363153443520.512,181792006995.968,363152369778.688,363152369778.688,181576184889.344,363177065840.64,181579406114.816,0.0,726095.872,0.0,0.0,0.0,0.0,1.0,2500704,0,0,0,0,20005632,0,10002816,0,0,7189524,7191374,8,1,0.0103856,0.0400226,0.8277160000000001,1.1e-06,0.0,0.0291819,0.0004721,0.0009404999999999999,0.0,10002816,0,120033792,0,10002816,30008448,50014080,0,6878785,625176,625176,4376232,1562940,0,0.0,0.0,0,2500704,0.0871016,0.0041778,1250352,0,0,0,0,0,0.491705,0.492155,0.235381,0.981644,0.8666790000000001,0.701192,0,3,2,1,1,0,0,2,0,0.0,0.010493,0.0,0,1,P100,stream,N10002816_STREAM_Triad
56.00036600000001,bpnn_adjust_weights_cuda,1.0,0.999996,0.999996,0.002435,0.0,0.0,0.0,0.0,15.999929000000002,4.999974,0,0,0,0,8558634,764166,0,5,699322,764192,666724,655187,0.6106779999999999,0.0,399745491140.608,193815767941.12,569335496048.64,242269441490.944,0.0,0.746369,0.0463753,1.0,211376815472.64,207719650820.096,678354650923.0079,221675073306.624,242269441490.944,221711580528.64,242278031425.536,0.0,1585174.28224,0.0,0.0,0.0,0.0,0.799998,2139658,22007920,2445328,4890656,9781280,0,0,0,0,0,4279324,4289745,6,1,0.0132739,0.034380600000000004,0.652636,0.034486800000000005,0.0930805,0.145209,0.001955,0.0136663,0.0,0,17117264,46461040,22007920,2445312,22007920,26898448,0,3904080,76417,76417,3056654,993415,0,0.0,0.0,0,699208,0.0022670999999999998,0.0090428,764166,0,0,0,0,0,0.6498729999999999,0.654609,0.297939,0.925917,0.941898,1.124366,0,2,4,1,1,0,0,2,1,0.0,0.0,0.0483531,0,1,P100,backprop,-152832_bpnn_adjust_weights_cuda
271.115478,invert_mapping,1.0,0.999958,0.948496,0.002073,0.0,0.0,0.0,0.0,15.542187,3.885546,0,0,0,0,6262802,1565700,0,5,12519084,1565723,11847230,1594990,0.0006984999999999999,0.0,42821253437.8496,42821253437.8496,342569812754.432,42821253437.8496,0.0,0.100497,0.054001699999999986,0.06778560000000003,324016627777.536,43622372212.736,42821253437.8496,342334663294.976,42821253437.8496,342391571611.648,42821897682.944,0.0,136745.984,0.0,0.0,0.0,0.0,1.0,1565700,0,0,0,0,0,0,0,0,0,3131926,3138420,6,1,0.0008148999999999999,0.0411774,0.902812,0.024371200000000003,0.0,0.0266887,0.00035880000000000005,4.52e-05,0.0,0,0,58213520,0,2948464,25051200,8846656,0,3124537,149708,149708,3154504,829014,0,0.0,0.0,0,12517005,0.0036571999999999998,7.400000000000001e-05,1565700,0,0,0,0,0,0.042884,0.042934,0.021369799999999998,0.924525,0.956317,0.047004,0,2,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,P100,kmeans,N368400_invert_mapping
263.49109,invert_mapping,1.0,0.999959,0.948554,0.0017420000000000005,0.0,0.0,0.0,0.0,15.542342,4.371267,0,0,0,0,8151570,2292620,0,5,16292256,2670668,16095791,2259940,0.0004125,0.0,40105975113.3184,40105975113.3184,320846941913.088,45119383063.7568,0.0,0.087885,0.0341205,0.129864,316768870465.536,44476211711.1808,40106297235.8656,320694470574.08,45119383063.7568,320635414773.76,52559447536.4352,0.0,98399.9488,0.0,0.0,0.0,0.0,0.888884,2037892,0,0,0,0,0,0,0,0,0,4080950,4088058,5,1,0.0007712999999999999,0.0437788,0.900617,0.0243348,0.0,0.0263529,0.0002562,3.82e-05,0.0,0,0,75841580,0,3852116,32606000,11572464,0,4070205,195308,195308,4106760,1079926,0,0.0,0.0,0,16295213,0.0037916,5.85e-05,2292620,0,0,0,0,0,0.039347,0.039415,0.019621400000000004,0.946614,0.960117,0.042564,0,2,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,P100,kmeans,N479500_invert_mapping
265.809074,invert_mapping,1.0,0.999825,0.9484090000000001,0.007118000000000002,0.0,0.0,0.0,0.0,15.54099,3.885009,0,0,0,0,2247538,561850,0,5,4487790,561873,3969669,575305,0.0014641,0.0,39244512047.9232,39244512047.9232,313955666886.656,39244512047.9232,0.0,0.100667,0.115916,0.129459,277276646178.81604,40184358266.4704,39246874279.936005,313694747623.424,39244512047.9232,313466040614.912,39246122660.6592,0.0,349241.344,0.0,0.0,0.0,0.0,1.0,561884,0,0,0,0,0,0,0,0,0,1124904,1130867,5,1,0.0008588,0.035882800000000006,0.905381,0.0248884,0.0,0.029159,0.0005298999999999999,6.43e-05,0.0,0,0,20903720,0,1060824,8989600,3185696,0,1124283,53816,53816,1132232,297704,0,0.0,0.0,0,4491052,0.003108,0.00012749999999999998,561850,0,0,0,0,0,0.04495,0.045265,0.0225009,0.820759,0.950818,0.052268,0,2,1,1,1,0,0,1,0,0.0,0.0,0.0,0,1,P100,kmeans,N132200_invert_mapping
56.000397,bpnn_adjust_weights_cuda,1.0,0.999996,0.999996,0.001667,0.0,0.0,0.0,0.0,15.999923,4.9999720000000005,0,0,0,0,7892906,704726,0,5,644986,704753,613166,605107,0.610717,0.0,398312045805.568,193119983239.168,567293239099.3921,241400784355.328,0.0,0.7463500000000001,0.049091300000000004,1.0,210036785676.288,207276195446.784,675920478208.0,220859029520.384,241400784355.328,220937412673.536,241410448031.744,0.0,1712712.58112,0.0,0.0,0.0,0.0,0.799998,1973226,20296048,2255120,4510240,9020448,0,0,0,0,0,3946460,3952280,6,1,0.0122572,0.034342700000000004,0.65109,0.0343276,0.0922312,0.145352,0.0054527,0.0135337,0.0,0,15785808,42847088,20296048,2255104,20296048,24806160,0,3597583,70473,70473,2818894,916143,0,0.0,0.0,0,644757,0.0023009,0.0091103,704726,0,0,0,0,0,0.654438,0.6542939999999999,0.297787,0.949646,0.941515,1.125659,0,2,4,1,1,0,0,2,1,0.0,0.0,0.0499406,0,1,P100,backprop,-140944_bpnn_adjust_weights_cuda
23.0,STREAM_Add,1.0,1.0,0.956521,0.000332,0.0,0.0,0.0,0.0,16.000003,4.0,0,0,0,0,10010114,1251264,0,5,2502696,1251287,2502541,1251182,0.0,0.0,362138757496.832,181069378748.416,362138757496.832,181069378748.416,0.0,0.5,0.0,0.0,362140904980.48,181057567588.352,362138757496.832,362138757496.832,181069378748.416,362162379816.96,181072599973.888,0.0,723540.9920000002,0.0,0.0,0.0,0.0,1.0,2502528,0,0,0,0,10010112,10010112,0,0,0,7194768,7196877,8,1,0.0099251,0.0400054,0.8309010000000001,4e-07,0.0,0.029148200000000006,0.0007303,0.0009382,0.0,10010112,0,120121344,0,10010112,30030336,50050560,0,6884053,625632,625632,4379424,1564080,0,0.0,0.0,0,2502528,0.0841408,0.0042101000000000005,1251264,0,0,0,0,0,0.491096,0.490508,0.234593,0.981808,0.86851,0.699666,0,3,2,1,1,0,0,2,0,0.0,0.0052409,0.0,0,1,P100,stream,N10010112_STREAM_Add
23.0,STREAM_Triad,1.0,1.0,0.956521,0.000277,0.0,0.0,0.0,0.0,16.000003,4.0,0,0,0,0,10022402,1252800,0,5,2505768,1252822,2505624,1252526,0.0,0.0,363020299534.336,181509612896.256,363020299534.336,181509612896.256,0.0,0.5,0.0,0.0,363023520759.808,181469884448.768,363020299534.336,363020299534.336,181509612896.256,363044995596.288,181512834121.728,0.0,724413.44,0.0,0.0,0.0,0.0,1.0,2505600,0,0,0,0,20044800,0,10022400,0,0,7203600,7205486,8,1,0.009611100000000001,0.0401019,0.828943,6e-07,0.0,0.0286553,0.0010059,0.0009371000000000001,0.0,10022400,0,120268800,0,10022400,30067200,50112000,0,6892284,626400,626400,4384800,1566000,0,0.0,0.0,0,2505600,0.0865696,0.0041744,1252800,0,0,0,0,0,0.489866,0.490507,0.234594,0.9787520000000001,0.866346,0.6994,0,3,2,1,1,0,0,2,0,0.0,0.010423,0.0,0,1,P100,stream,N10022400_STREAM_Triad
23.0,STREAM_Add,1.0,1.0,0.956521,0.000408,0.0,0.0,0.0,0.0,16.000003,4.0,0,0,0,0,10014082,1251760,0,5,2503616,1251783,2503545,1252672,0.0,0.0,362039973249.024,181019986624.512,362039973249.024,181019986624.512,0.0,0.5,0.0,0.0,362043194474.496,181150983127.04,362039973249.024,362039973249.024,181019986624.512,362053931892.736,181023207849.984,0.0,723057.6640000001,0.0,0.0,0.0,0.0,1.0,2503520,0,0,0,0,10014080,10014080,0,0,0,7197620,7200391,8,1,0.0097091,0.04001420000000002,0.8288690000000001,4e-07,0.0,0.0294103,0.0004950999999999999,0.0009339,0.0,10014080,0,120168960,0,10014080,30042240,50070400,0,6887439,625880,625880,4381160,1564700,0,0.0,0.0,0,2503520,0.086352,0.0042148,1251760,0,0,0,0,0,0.490343,0.489513,0.234118,0.981964,0.8676590000000001,0.699343,0,3,2,1,1,0,0,2,0,0.0,0.005233600000000001,0.0,0,1,P100,stream,N10014080_STREAM_Add
23.0,STREAM_Triad,1.0,1.0,0.956521,0.000389,0.0,0.0,0.0,0.0,16.000003,4.0,0,0,0,0,10012930,1251616,0,5,2503328,1251666,2503264,1252652,0.0,0.0,363054659272.704,181526792765.44,363054659272.704,181526792765.44,0.0,0.5,0.0,0.0,363058954240.0,181677116620.8,363054659272.704,363054659272.704,181526792765.44,363068617916.416,181534308958.208,0.0,725167.104,0.0,0.0,0.0,0.0,1.0,2503232,0,0,0,0,20025856,0,10012928,0,0,7196792,7200262,8,1,0.0099064,0.0399876,0.828519,0.0,0.0,0.0286996,0.0007101000000000001,0.0009328,0.0,10012928,0,120155136,0,10012928,30038784,50064640,0,6887351,625808,625808,4380656,1564520,0,0.0,0.0,0,2503232,0.0870407,0.0042029,1251616,0,0,0,0,0,0.490582,0.4906970000000001,0.234686,0.981765,0.8648370000000001,0.700674,0,3,2,1,1,0,0,2,0,0.0,0.010470299999999998,0.0,0,1,P100,stream,N10012928_STREAM_Triad
