Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
54    54    1527260214346668174    3.257586    3.198461    3.200200    1.000000    1.000000    1.000000    4.234718    4.236812    3.626812
55    55    1527260214659417467    3.256492    3.198483    3.197449    1.000000    1.000000    1.000000    4.224004    4.241716    3.645578
56    56    1527260214972199634    3.255431    3.198504    3.197113    1.000000    1.000000    1.000000    4.213799    4.246358    3.652740
57    57    1527260215284767468    3.254447    3.198485    3.199306    1.000000    1.000000    1.000000    4.204086    4.250324    3.660015
58    58    1527260215597669635    3.253436    3.198422    3.195887    1.000000    1.000000    1.000000    4.256221    4.325229    7.225613
59    59    1527260215909857386    3.252586    3.198460    3.203201    1.000000    1.000000    1.000000    4.245220    4.257099    3.606211
60    60    1527260216222728303    3.251646    3.198447    3.196206    1.000000    1.000000    1.000000    4.235267    4.259786    3.648431
61    61    1527260216535398762    3.250771    3.198363    3.198255    1.000000    1.000000    1.000000    4.225532    4.261253    3.641470
62    62    1527260216847738805    3.249979    3.198350    3.201639    1.000000    1.000000    1.000000    4.216298    4.263238    3.652433
63    63    1527260217160333598    3.249171    3.198389    3.199030    1.000000    1.000000    1.000000    4.265283    4.338858    7.302946
64    64    1527260217472784807    3.248411    3.198453    3.200500    1.000000    1.000000    1.000000    4.256251    4.270819    3.686896
65    65    1527260217784884476    3.247730    3.198581    3.204105    1.000000    1.000000    1.000000    4.247605    4.273559    3.693221
66    66    1527260218097338394    3.247014    3.198674    3.200472    1.000000    1.000000    1.000000    4.238303    4.274936    3.633317
67    67    1527260218409857145    3.246310    3.198721    3.199808    1.000000    1.000000    1.000000    4.229251    4.275831    3.631612
68    68    1527260218722780103    3.245565    3.198669    3.195675    1.000000    1.000000    1.000000    4.220406    4.276146    3.628302
69    69    1527260219035115855    3.244930    3.198692    3.201683    1.000000    1.000000    1.000000    4.264593    4.349112    7.272270
70    70    1527260219347882730    3.244248    3.198579    3.197270    1.000000    1.000000    1.000000    4.255628    4.278296    3.637303
71    71    1527260219660545064    3.243602    3.198690    3.198339    1.000000    1.000000    1.000000    4.247098    4.279526    3.650059
72    72    1527260219972990524    3.243004    3.198709    3.200559    1.000000    1.000000    1.000000    4.239178    4.281484    3.676517
73    73    1527260220285654274    3.242392    3.198711    3.198324    1.000000    1.000000    1.000000    4.231151    4.282809    3.653199
74    74    1527260220598497608    3.241771    3.198667    3.196488    1.000000    1.000000    1.000000    4.272071    4.356008    7.257310
75    75    1527260220911131484    3.241196    3.198659    3.198630    1.000000    1.000000    1.000000    4.263222    4.284043    3.608377
76    76    1527260221223829901    3.240627    3.198651    3.197969    1.000000    1.000000    1.000000    4.254760    4.283777    3.620233
77    77    1527260221536446402    3.240084    3.198647    3.198807    1.000000    1.000000    1.000000    4.246844    4.283874    3.645198
78    78    1527260221848904445    3.239576    3.198608    3.200430    1.000000    1.000000    1.000000    4.239278    4.284877    3.656328
79    79    1527260222161705362    3.239036    3.198595    3.196922    1.000000    1.000000    1.000000    4.231553    4.285388    3.629340
80    80    1527260222474584362    3.238499    3.198631    3.196124    1.000000    1.000000    1.000000    4.270248    4.359919    7.324835
81    81    1527260222786946030    3.238042    3.198729    3.201417    1.000000    1.000000    1.000000    4.262197    4.288370    3.617518
82    82    1527260223099325740    3.237593    3.198808    3.201232    1.000000    1.000000    1.000000    4.254350    4.288262    3.618215
83    83    1527260223411783741    3.237146    3.198822    3.200430    1.000000    1.000000    1.000000    4.246835    4.288157    3.630216
84    84    1527260223724675491    3.236655    3.198798    3.195994    1.000000    1.000000    1.000000    4.239417    4.287478    3.624241
85    85    1527260224037394783    3.236198    3.198771    3.197756    1.000000    1.000000    1.000000    4.275026    4.360115    7.265458
86    86    1527260224349687243    3.235802    3.198959    3.202127    1.000000    1.000000    1.000000    4.267761    4.288944    3.649537
87    87    1527260224662546201    3.235348    3.198896    3.196328    1.000000    1.000000    1.000000    4.260907    4.289938    3.671862
88    88    1527260224975094036    3.234941    3.198883    3.199510    1.000000    1.000000    1.000000    4.254090    4.290985    3.660860
89    89    1527260225287428704    3.234568    3.198987    3.201694    1.000000    1.000000    1.000000    4.246779    4.291204    3.602789
90    90    1527260225600260912    3.234146    3.198887    3.196602    1.000000    1.000000    1.000000    4.239820    4.291207    3.620845
91    91    1527260225913222537    3.233718    3.198801    3.195280    1.000000    1.000000    1.000000    4.273421    4.364685    7.294367
92    92    1527260226225811955    3.233342    3.198826    3.199085    1.000000    1.000000    1.000000    4.266498    4.290800    3.636380
93    93    1527260226538737580    3.232936    3.198781    3.195648    1.000000    1.000000    1.000000    4.259953    4.291420    3.658329
94    94    1527260226851228039    3.232587    3.198780    3.200098    1.000000    1.000000    1.000000    4.253532    4.292268    3.656089
95    95    1527260227163824248    3.232233    3.198708    3.199015    1.000000    1.000000    1.000000    4.247265    4.293074    3.658077
96    96    1527260227476142583    3.231917    3.198698    3.201861    1.000000    1.000000    1.000000    4.278861    4.366457    7.283633
97    97    1527260227789265000    3.231522    3.198576    3.193639    1.000000    1.000000    1.000000    4.272032    4.294014    3.617419
98    98    1527260228102330666    3.231141    3.198464    3.194218    1.000000    1.000000    1.000000    4.265308    4.293732    3.613961
99    99    1527260228414651709    3.230845    3.198606    3.201834    1.000000    1.000000    1.000000    4.258790    4.293176    3.619404
100    100    1527260228727228585    3.230529    3.198628    3.199213    1.000000    1.000000    1.000000    4.252371    4.292508    3.616707
101    101    1527260229038535797    3.230349    3.198968    3.212261    1.000000    1.000000    1.000000    4.282704    4.366733    7.329059
102    102    1527260229349551677    3.230202    3.199371    3.215270    1.000000    1.000000    1.000000    4.277066    4.296558    3.704621
103    103    1527260229660952223    3.230019    3.199639    3.211298    1.000000    1.000000    1.000000    4.271538    4.298427    3.705520
104    104    1527260229972005644    3.229874    3.199931    3.214882    1.000000    1.000000    1.000000    4.265720    4.299218    3.663499
105    105    1527260230282998482    3.229738    3.200291    3.215508    1.000000    1.000000    1.000000    4.259893    4.299396    3.650824
106    106    1527260230594775694    3.229528    3.200496    3.207419    1.000000    1.000000    1.000000    4.254070    4.299204    3.641033
107    107    1527260230906305905    3.229346    3.200709    3.209962    1.000000    1.000000    1.000000    4.282334    4.371603    7.288266
108    108    1527260231217868951    3.229164    3.200983    3.209623    1.000000    1.000000    1.000000    4.276598    4.300256    3.660919
109    109    1527260231529526745    3.228976    3.201092    3.208647    1.000000    1.000000    1.000000    4.270995    4.301436    3.664186
110    110    1527260231840668208    3.228840    3.201447    3.213972    1.000000    1.000000    1.000000    4.265831    4.302543    3.700381
111    111    1527260232151883588    3.228700    3.201745    3.213209    1.000000    1.000000    1.000000    4.260770    4.303806    3.701755
112    112    1527260232463311008    3.228543    3.201932    3.211021    1.000000    1.000000    1.000000    4.255201    4.303493    3.634828
113    113    1527260232774906220    3.228373    3.202137    3.209292    1.000000    1.000000    1.000000    4.282095    4.303303    7.303004
114    114    1527260233085886350    3.228262    3.202439    3.215640    1.000000    1.000000    1.000000    4.276665    4.302826    3.660047
115    115    1527260233397069521    3.228134    3.202626    3.213541    1.000000    1.000000    1.000000    4.271177    4.301859    3.642941
116    116    1527260233708615733    3.227977    3.202813    3.209797    1.000000    1.000000    1.000000    4.265709    4.301933    3.635053
117    117    1527260234019808820    3.227853    3.203085    3.213439    1.000000    1.000000    1.000000    4.260648    4.302780    3.671238
118    118    1527260234331216616    3.227712    3.203396    3.211223    1.000000    1.000000    1.000000    4.286568    4.376686    7.329341
119    119    1527260234642671620    3.227570    3.203577    3.210737    1.000000    1.000000    1.000000    4.281652    4.305231    3.699754
120    120    1527260234953747041    3.227463    3.203924    3.214654    1.000000    1.000000    1.000000    4.276448    4.305645    3.654429
121    121    1527260235265134670    3.227331    3.204185    3.211431    1.000000    1.000000    1.000000    4.271157    4.305382    3.634178
122    122    1527260235576633882    3.227192    3.204380    3.210281    1.000000    1.000000    1.000000    4.265915    4.304485    3.629666
123    123    1527260235887856136    3.227078    3.204676    3.213138    1.000000    1.000000    1.000000    4.260686    4.303890    3.620384
124    124    1527260236199083599    3.226965    3.205008    3.213084    1.000000    1.000000    1.000000    4.284771    4.303605    7.258328
125    125    1527260236510320936    3.226854    3.205295    3.212982    1.000000    1.000000    1.000000    4.279744    4.304580    3.654144
126    126    1527260236821686982    3.226734    3.205569    3.211654    1.000000    1.000000    1.000000    4.274982    4.305786    3.677726
127    127    1527260237132599654    3.226652    3.205919    3.216337    1.000000    1.000000    1.000000    4.270356    4.306646    3.684723
128    128    1527260237443939533    3.226537    3.206149    3.211924    1.000000    1.000000    1.000000    4.265546    4.306620    3.652687
129    129    1527260237755296662    3.226423    3.206445    3.211746    1.000000    1.000000    1.000000    4.289137    4.380343    7.318419
130    130    1527260238066478749    3.226324    3.206795    3.213553    1.000000    1.000000    1.000000    4.284344    4.306956    3.663803
131    131    1527260238377716879    3.226223    3.207026    3.212974    1.000000    1.000000    1.000000    4.279727    4.308201    3.677403
132    132    1527260238689079049    3.226113    3.207235    3.211694    1.000000    1.000000    1.000000    4.275141    4.309331    3.672566
133    133    1527260239000270554    3.226018    3.207495    3.213455    1.000000    1.000000    1.000000    4.270704    4.310437    3.682838
134    134    1527260239311007101    3.225960    3.207939    3.218160    1.000000    1.000000    1.000000    4.266464    4.312036    3.699697
135    135    1527260239622454855    3.225848    3.208200    3.210811    1.000000    1.000000    1.000000    4.289313    4.313673    7.359424
136    136    1527260239933550609    3.225765    3.208447    3.214444    1.000000    1.000000    1.000000    4.284559    4.313539    3.640265
137    137    1527260240244715405    3.225677    3.208796    3.213731    1.000000    1.000000    1.000000    4.279926    4.313126    3.647688
138    138    1527260240556134076    3.225572    3.209028    3.211111    1.000000    1.000000    1.000000    4.275471    4.313224    3.663383
139    139    1527260240867311664    3.225486    3.209267    3.213599    1.000000    1.000000    1.000000    4.270998    4.314250    3.651542
140    140    1527260241178214294    3.225422    3.209664    3.216441    1.000000    1.000000    1.000000    4.266769    4.315444    3.676389
141    141    1527260241489793130    3.225309    3.209949    3.209461    1.000000    1.000000    1.000000    4.288551    4.316184    7.344568
142    142    1527260241800886052    3.225233    3.210258    3.214474    1.000000    1.000000    1.000000    4.284377    4.317394    3.693703
143    143    1527260242112178056    3.225143    3.210594    3.212418    1.000000    1.000000    1.000000    4.280095    4.317703    3.670281
144    144    1527260242423432102    3.225058    3.210849    3.212810    1.000000    1.000000    1.000000    4.275758    4.317705    3.653594
145    145    1527260242734761397    3.224968    3.211110    3.212033    1.000000    1.000000    1.000000    4.271519    4.317783    3.659267
146    146    1527260243046074402    3.224881    3.211318    3.212201    1.000000    1.000000    1.000000    4.292280    4.318148    7.311487
147    147    1527260243357336489    3.224799    3.211701    3.212727    1.000000    1.000000    1.000000    4.288063    4.319291    3.670376
148    148    1527260243668710285    3.224710    3.212051    3.211574    1.000000    1.000000    1.000000    4.283956    4.320661    3.678614
149    149    1527260243979598332    3.224655    3.212346    3.216592    1.000000    1.000000    1.000000    4.280125    4.322551    3.710841
150    150    1527260244290734086    3.224585    3.212644    3.214031    1.000000    1.000000    1.000000    4.276358    4.324544    3.713103
151    151    1527260244601811757    3.224519    3.212691    3.214631    1.000000    1.000000    1.000000    4.272456    4.251663    3.685051
152    152    1527260244912488930    3.224481    3.212761    3.218775    1.000000    1.000000    1.000000    4.292343    4.323644    7.309771
153    153    1527260245223696101    3.224409    3.212801    3.213294    1.000000    1.000000    1.000000    4.288129    4.322454    3.645633
154    154    1527260245534926605    3.224335    3.212764    3.213053    1.000000    1.000000    1.000000    4.284005    4.322199    3.651120
155    155    1527260245846151151    3.224263    3.212717    3.213114    1.000000    1.000000    1.000000    4.280053    4.322567    3.669756
156    156    1527260246157459155    3.224186    3.212814    3.212253    1.000000    1.000000    1.000000    4.276146    4.323144    3.668830
157    157    1527260246469147950    3.224085    3.212781    3.208328    1.000000    1.000000    1.000000    4.295582    4.324052    7.332115
158    158    1527260246780621120    3.224000    3.212799    3.210549    1.000000    1.000000    1.000000    4.291776    4.324697    3.692925
159    159    1527260247092171165    3.223910    3.212821    3.209757    1.000000    1.000000    1.000000    4.287902    4.324910    3.674607
160    160    1527260247403765252    3.223819    3.212728    3.209304    1.000000    1.000000    1.000000    4.283894    4.323795    3.645624
