Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1526401787315509177    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1526401787606503024    6.872998    3.436499    3.436499    1.000000    1.000000    1.000000    1.542311    1.542311    1.542311
2    2    1526401787896231625    5.165979    3.443986    3.451506    1.000000    1.000000    1.000000    1.646279    1.646279    1.750700
3    3    1526401788185940058    4.595425    3.446569    3.451746    1.000000    1.000000    1.000000    1.691836    1.691836    1.783155
4    4    1526401788475630159    4.309895    3.447916    3.451965    1.000000    1.000000    1.000000    1.718742    1.718742    1.799589
5    5    1526401788765553134    4.137806    3.448171    3.449192    1.000000    1.000000    1.000000    1.737254    1.737254    1.811329
6    6    1526401789055422567    4.023189    3.448447    3.449829    1.000000    1.000000    1.000000    2.056595    2.056595    3.654069
7    7    1526401789345068751    3.941742    3.449024    3.452488    1.000000    1.000000    1.000000    2.027331    2.027331    1.851538
8    8    1526401789635103809    3.879988    3.448878    3.447859    1.000000    1.000000    1.000000    2.006668    2.006668    1.862075
9    9    1526401789924634535    3.832702    3.449432    3.453865    1.000000    1.000000    1.000000    1.991618    1.991618    1.871045
10    10    1526401790214612634    3.794276    3.449342    3.448536    1.000000    1.000000    1.000000    1.978345    1.978345    1.858920
11    11    1526401790504353693    3.763119    3.449526    3.451358    1.000000    1.000000    1.000000    1.969733    1.969733    1.883561
12    12    1526401790794617459    3.736590    3.449160    3.445142    1.000000    1.000000    1.000000    1.961601    1.961601    1.872270
13    13    1526401791084446184    3.714575    3.449248    3.450314    1.000000    1.000000    1.000000    1.954939    1.954939    1.874966
14    14    1526401791374099909    3.695864    3.449473    3.452398    1.000000    1.000000    1.000000    1.949468    1.949468    1.878281
15    15    1526401791664430466    3.679073    3.449131    3.444350    1.000000    1.000000    1.000000    1.944475    1.944475    1.874667
16    16    1526401791954332733    3.664722    3.449151    3.449438    1.000000    1.000000    1.000000    2.058744    2.058744    3.772930
