Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260725961002307    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260726256372935    6.771154    3.385577    3.385577    1.000000    1.000000    1.000000    2.743465    2.743465    2.743465
2    2    1527260726549700359    5.095991    3.397327    3.409160    1.000000    1.000000    1.000000    2.904114    2.904114    3.065881
3    3    1527260726844289281    4.528540    3.396405    3.394561    1.000000    1.000000    1.000000    2.945503    2.945503    3.028213
4    4    1527260727137460581    4.250044    3.400036    3.410975    1.000000    1.000000    1.000000    2.977025    2.977025    3.071999
5    5    1527260727429980507    4.084472    3.403726    3.418571    1.000000    1.000000    1.000000    3.626587    3.626587    6.238997
6    6    1527260727724394304    3.969622    3.402534    3.396580    1.000000    1.000000    1.000000    3.541986    3.541986    3.119867
7    7    1527260728018059519    3.889051    3.402920    3.405238    1.000000    1.000000    1.000000    3.486988    3.486988    3.156741
8    8    1527260728311892859    3.828336    3.402966    3.403290    1.000000    1.000000    1.000000    3.448352    3.448352    3.177873
9    9    1527260728605720866    3.781121    3.403008    3.403352    1.000000    1.000000    1.000000    3.419881    3.419881    3.192088
10    10    1527260728898774291    3.744334    3.403940    3.412347    1.000000    1.000000    1.000000    3.396496    3.396496    3.185446
11    11    1527260729192915297    3.712971    3.403557    3.399730    1.000000    1.000000    1.000000    3.377981    3.377981    3.193060
12    12    1527260729487318844    3.686566    3.402984    3.396698    1.000000    1.000000    1.000000    3.363912    3.363912    3.209469
13    13    1527260729780782935    3.665132    3.403337    3.407572    1.000000    1.000000    1.000000    3.352896    3.352896    3.220527
14    14    1527260730103123286    3.621333    3.379911    3.102311    1.000000    1.000000    1.000000    3.547607    3.547607    5.854960
15    15    1527260730397154876    3.606729    3.381308    3.400995    1.000000    1.000000    1.000000    3.531592    3.531592    3.305985
16    16    1527260730691327173    3.593834    3.382432    3.399368    1.000000    1.000000    1.000000    3.523275    3.523275    3.397845
17    17    1527260730984443015    3.583201    3.384135    3.411620    1.000000    1.000000    1.000000    3.507890    3.507890    3.259602
18    18    1527260731278367438    3.573198    3.385135    3.402235    1.000000    1.000000    1.000000    3.494257    3.494257    3.261260
19    19    1527260731571730779    3.564600    3.386369    3.408742    1.000000    1.000000    1.000000    3.482847    3.482847    3.276040
20    20    1527260731866431950    3.556049    3.386714    3.393268    1.000000    1.000000    1.000000    3.471511    3.471511    3.255691
21    21    1527260732159909916    3.549012    3.387694    3.407411    1.000000    1.000000    1.000000    3.462720    3.462720    3.285821
22    22    1527260732453893256    3.542336    3.388321    3.401553    1.000000    1.000000    1.000000    3.602498    3.602498    6.549851
23    23    1527260732747666471    3.536347    3.388999    3.403986    1.000000    1.000000    1.000000    3.587762    3.587762    3.262064
24    24    1527260733042854641    3.530150    3.388944    3.387670    1.000000    1.000000    1.000000    3.574229    3.574229    3.263098
25    25    1527260733337145688    3.524877    3.389305    3.397997    1.000000    1.000000    1.000000    3.561536    3.561536    3.256083
26    26    1527260733631499943    3.519980    3.389611    3.397267    1.000000    1.000000    1.000000    3.549418    3.549418    3.245769
27    27    1527260733925731074    3.515500    3.389946    3.398689    1.000000    1.000000    1.000000    3.538381    3.538381    3.250628
28    28    1527260734220230912    3.511224    3.390147    3.395588    1.000000    1.000000    1.000000    3.528246    3.528246    3.254148
29    29    1527260734513941086    3.507566    3.390647    3.404717    1.000000    1.000000    1.000000    3.519776    3.519776    3.281613
30    30    1527260734807912842    3.504048    3.391014    3.401687    1.000000    1.000000    1.000000    3.511897    3.511897    3.282662
31    31    1527260735103638052    3.500085    3.390707    3.381518    1.000000    1.000000    1.000000    3.609310    3.609310    6.523505
32    32    1527260735398370556    3.496738    3.390776    3.392907    1.000000    1.000000    1.000000    3.598615    3.598615    3.266847
33    33    1527260735692756562    3.493717    3.390961    3.396901    1.000000    1.000000    1.000000    3.589162    3.589162    3.286128
34    34    1527260735985722279    3.491369    3.391616    3.413369    1.000000    1.000000    1.000000    3.580734    3.580734    3.300772
35    35    1527260736279508202    3.488877    3.391964    3.403839    1.000000    1.000000    1.000000    3.572725    3.572725    3.299440
36    36    1527260736573212209    3.486550    3.392319    3.404788    1.000000    1.000000    1.000000    3.565620    3.565620    3.315995
37    37    1527260736867223340    3.484250    3.392559    3.401232    1.000000    1.000000    1.000000    3.558754    3.558754    3.310946
38    38    1527260737161139680    3.482100    3.392816    3.402329    1.000000    1.000000    1.000000    3.552079    3.552079    3.304379
39    39    1527260737456133975    3.479734    3.392740    3.389896    1.000000    1.000000    1.000000    3.545033    3.545033    3.277531
40    40    1527260737750325565    3.477723    3.392900    3.399145    1.000000    1.000000    1.000000    3.619496    3.619496    6.529017
41    41    1527260738043368115    3.476140    3.393375    3.412474    1.000000    1.000000    1.000000    3.611499    3.611499    3.289802
42    42    1527260738336669831    3.474560    3.393756    3.409458    1.000000    1.000000    1.000000    3.604299    3.604299    3.307662
43    43    1527260738631141836    3.472732    3.393806    3.395909    1.000000    1.000000    1.000000    3.596990    3.596990    3.289827
44    44    1527260738925590925    3.470993    3.393860    3.396173    1.000000    1.000000    1.000000    3.590173    3.590173    3.296848
45    45    1527260739220218929    3.469285    3.393866    3.394110    1.000000    1.000000    1.000000    3.583223    3.583223    3.277387
46    46    1527260739513914061    3.467889    3.394105    3.404891    1.000000    1.000000    1.000000    3.576695    3.576695    3.281992
47    47    1527260739807804609    3.466504    3.394286    3.402627    1.000000    1.000000    1.000000    3.570231    3.570231    3.272120
48    48    1527260740101820949    3.465146    3.394429    3.401172    1.000000    1.000000    1.000000    3.632213    3.632213    6.551286
49    49    1527260740394880041    3.464073    3.394791    3.412281    1.000000    1.000000    1.000000    3.625139    3.625139    3.283795
50    50    1527260740692015247    3.462084    3.394200    3.365471    1.000000    1.000000    1.000000    3.617660    3.617660    3.254354
51    51    1527260740985929712    3.460915    3.394535    3.402350    1.000000    1.000000    1.000000    3.611472    3.628878    3.301352
52    52    1527260741279394761    3.459893    3.394504    3.407561    1.000000    1.000000    1.000000    3.605799    3.633843    3.315359
53    53    1527260741572783227    3.458926    3.394780    3.408450    1.000000    1.000000    1.000000    3.600010    3.639262    3.297761
54    54    1527260741866362318    3.457954    3.394686    3.406237    1.000000    1.000000    1.000000    3.594450    3.643766    3.298743
55    55    1527260742160130658    3.456976    3.394398    3.404043    1.000000    1.000000    1.000000    3.588730    3.584955    3.279077
56    56    1527260742453808665    3.456052    3.394568    3.405090    1.000000    1.000000    1.000000    3.583619    3.588604    3.301691
57    57    1527260742748400337    3.454973    3.394355    3.394529    1.000000    1.000000    1.000000    3.635704    3.656472    6.551675
