Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
0    0    1527260376094129222    0.000000    0.000000    0.000000    1.000000    1.000000    1.000000    0.000000    0.000000    0.000000
1    1    1527260376403504231    6.464646    3.232323    3.232323    1.000000    1.000000    1.000000    1.232743    1.232743    1.232743
2    2    1527260376712170742    4.854043    3.236028    3.239742    1.000000    1.000000    1.000000    2.097495    2.097495    2.964232
3    3    1527260377020538961    4.317744    3.238308    3.242876    1.000000    1.000000    1.000000    2.343484    2.343484    2.836502
4    4    1527260377329394805    4.047713    3.238170    3.237756    1.000000    1.000000    1.000000    3.210812    3.210812    5.812356
5    5    1527260377637827816    3.886769    3.238974    3.242195    1.000000    1.000000    1.000000    3.155659    3.155659    2.934770
6    6    1527260377946242578    3.779466    3.239542    3.242387    1.000000    1.000000    1.000000    3.125059    3.125059    2.971901
7    7    1527260378254888755    3.702402    3.239602    3.239956    1.000000    1.000000    1.000000    3.104645    3.104645    2.982146
8    8    1527260378563480933    3.644681    3.239717    3.240523    1.000000    1.000000    1.000000    3.094317    3.094317    3.021998
9    9    1527260378872109485    3.599738    3.239764    3.240141    1.000000    1.000000    1.000000    3.089745    3.089745    3.053169
10    10    1527260379180431997    3.564135    3.240123    3.243357    1.000000    1.000000    1.000000    3.388530    3.388530    6.080571
11    11    1527260379488897800    3.534851    3.240280    3.241850    1.000000    1.000000    1.000000    3.357191    3.357191    3.043637
12    12    1527260379797287853    3.510517    3.240477    3.242647    1.000000    1.000000    1.000000    3.333527    3.333527    3.073027
13    13    1527260380105266699    3.490282    3.240976    3.246976    1.000000    1.000000    1.000000    3.312289    3.312289    3.056927
14    14    1527260380414103209    3.472243    3.240760    3.237959    1.000000    1.000000    1.000000    3.293624    3.293624    3.051197
15    15    1527260380723255511    3.456376    3.240352    3.234652    1.000000    1.000000    1.000000    3.277422    3.277422    3.051024
16    16    1527260381031836897    3.442893    3.240370    3.240636    1.000000    1.000000    1.000000    3.457623    3.457623    6.160874
17    17    1527260381340779740    3.430760    3.240163    3.236845    1.000000    1.000000    1.000000    3.437632    3.437632    3.118124
18    18    1527260381649445292    3.420147    3.240140    3.239753    1.000000    1.000000    1.000000    3.420101    3.420101    3.122120
19    19    1527260381958398928    3.410484    3.239960    3.236732    1.000000    1.000000    1.000000    3.402574    3.402574    3.087408
20    20    1527260382266902772    3.402036    3.240035    3.241451    1.000000    1.000000    1.000000    3.386944    3.386944    3.089845
21    21    1527260382575702907    3.394237    3.239954    3.238341    1.000000    1.000000    1.000000    3.373252    3.373252    3.099555
22    22    1527260382884856209    3.386972    3.239712    3.234641    1.000000    1.000000    1.000000    3.499851    3.499851    6.154067
23    23    1527260383193298887    3.380677    3.239815    3.242093    1.000000    1.000000    1.000000    3.482408    3.482408    3.098375
24    24    1527260383501827440    3.374868    3.239873    3.241191    1.000000    1.000000    1.000000    3.467307    3.467307    3.119847
25    25    1527260383810595950    3.369418    3.239825    3.238672    1.000000    1.000000    1.000000    3.454015    3.454015    3.135129
26    26    1527260384119130419    3.364485    3.239875    3.241129    1.000000    1.000000    1.000000    3.441612    3.441612    3.131417
27    27    1527260384428283137    3.359669    3.239681    3.234647    1.000000    1.000000    1.000000    3.543371    3.543371    6.184824
28    28    1527260384736912857    3.355400    3.239697    3.240129    1.000000    1.000000    1.000000    3.527681    3.527681    3.103995
29    29    1527260385045734409    3.351354    3.239643    3.238116    1.000000    1.000000    1.000000    3.513611    3.513611    3.119834
30    30    1527260385354078712    3.347750    3.239758    3.243128    1.000000    1.000000    1.000000    3.500329    3.500329    3.114739
31    31    1527260385662762139    3.344260    3.239752    3.239565    1.000000    1.000000    1.000000    3.487612    3.487612    3.106134
32    32    1527260385971698983    3.340903    3.239663    3.236908    1.000000    1.000000    1.000000    3.475592    3.475592    3.103298
33    33    1527260386282653988    3.337088    3.238938    3.215899    1.000000    1.000000    1.000000    3.559184    3.559184    6.214523
34    34    1527260386592281788    3.333920    3.238665    3.229684    1.000000    1.000000    1.000000    3.546875    3.546875    3.141808
35    35    1527260386901476297    3.331067    3.238538    3.234210    1.000000    1.000000    1.000000    3.535441    3.535441    3.147242
36    36    1527260387210325599    3.328477    3.238518    3.237825    1.000000    1.000000    1.000000    3.523640    3.523640    3.110672
37    37    1527260387519683483    3.325878    3.238355    3.232502    1.000000    1.000000    1.000000    3.512642    3.512642    3.117470
38    38    1527260387828393869    3.323600    3.238379    3.239282    1.000000    1.000000    1.000000    3.502406    3.502406    3.123562
39    39    1527260388137599628    3.321302    3.238269    3.234092    1.000000    1.000000    1.000000    3.571401    3.571401    6.189752
40    40    1527260388446584472    3.319178    3.238223    3.236405    1.000000    1.000000    1.000000    3.559815    3.559815    3.108198
41    41    1527260388755274649    3.317235    3.238254    3.239494    1.000000    1.000000    1.000000    3.549649    3.549649    3.142879
42    42    1527260389063892493    3.315404    3.238301    3.240253    1.000000    1.000000    1.000000    3.540365    3.540365    3.159448
43    43    1527260389372671004    3.313617    3.238307    3.238567    1.000000    1.000000    1.000000    3.531039    3.531039    3.139334
44    44    1527260389681861096    3.311811    3.238215    3.234256    1.000000    1.000000    1.000000    3.521850    3.521850    3.127199
