Beat    Tag    Timestamp    Global_Rate    Window_Rate    Instant_Rate    Global_Accuracy    Window_Accuracy    Instant_Accuracy    Global_Power    Window_Power    Instant_Power
54    54    1526401466528162149    3.439890    3.377681    3.376073    1.000000    1.000000    1.000000    2.730561    2.773020    2.493686
55    55    1526401466824682024    3.438662    3.377563    3.372455    1.000000    1.000000    1.000000    2.771817    2.778704    4.996394
56    56    1526401467120603525    3.437602    3.377549    3.379275    1.000000    1.000000    1.000000    2.767356    2.781539    2.521868
57    57    1526401467416351152    3.436615    3.377643    3.381261    1.000000    1.000000    1.000000    2.763023    2.784172    2.520061
58    58    1526401467712874944    3.435507    3.377529    3.372411    1.000000    1.000000    1.000000    2.758598    2.785992    2.506780
59    59    1526401468008686779    3.434576    3.377489    3.380527    1.000000    1.000000    1.000000    2.754502    2.787818    2.516678
60    60    1526401468304593072    3.433657    3.377576    3.379448    1.000000    1.000000    1.000000    2.750270    2.789347    2.500410
61    61    1526401468600889114    3.432695    3.377507    3.375003    1.000000    1.000000    1.000000    2.746595    2.791358    2.526257
62    62    1526401468896587532    3.431876    3.377587    3.381824    1.000000    1.000000    1.000000    2.743289    2.793174    2.541383
63    63    1526401469192932241    3.430963    3.377513    3.374449    1.000000    1.000000    1.000000    2.780214    2.845800    5.067551
64    64    1526401469488817784    3.430163    3.377597    3.379685    1.000000    1.000000    1.000000    2.776179    2.798454    2.521789
65    65    1526401469784831744    3.429364    3.377687    3.378219    1.000000    1.000000    1.000000    2.772346    2.800024    2.526986
66    66    1526401470080602995    3.428632    3.377604    3.380991    1.000000    1.000000    1.000000    2.768642    2.801121    2.527626
67    67    1526401470376750121    3.427856    3.377551    3.376700    1.000000    1.000000    1.000000    2.764942    2.802020    2.520811
68    68    1526401470672914497    3.427101    3.377529    3.376503    1.000000    1.000000    1.000000    2.761398    2.802922    2.523963
69    69    1526401470969351413    3.426322    3.377431    3.373399    1.000000    1.000000    1.000000    2.757838    2.803557    2.516043
70    70    1526401471265275331    3.425650    3.377458    3.379247    1.000000    1.000000    1.000000    2.754592    2.804371    2.530542
71    71    1526401471561396832    3.424964    3.377448    3.376992    1.000000    1.000000    1.000000    2.786916    2.855567    5.049336
72    72    1526401471857409042    3.424315    3.377479    3.378239    1.000000    1.000000    1.000000    2.783099    2.806874    2.512011
